#    L    TT             EE             BB             TE          
    91    0.23731E+04    0.60532E+00    0.20447E-02   -0.16925E+02
    92    0.24020E+04    0.61997E+00    0.20903E-02   -0.17537E+02
    93    0.24313E+04    0.63459E+00    0.21364E-02   -0.18153E+02
    94    0.24606E+04    0.64915E+00    0.21830E-02   -0.18773E+02
    95    0.24901E+04    0.66365E+00    0.22302E-02   -0.19396E+02
    96    0.25197E+04    0.67807E+00    0.22780E-02   -0.20023E+02
    97    0.25497E+04    0.69240E+00    0.23263E-02   -0.20652E+02
    98    0.25799E+04    0.70664E+00    0.23751E-02   -0.21282E+02
    99    0.26102E+04    0.72074E+00    0.24246E-02   -0.21915E+02
   100    0.26407E+04    0.73471E+00    0.24746E-02   -0.22547E+02
   101    0.26714E+04    0.74861E+00    0.25251E-02   -0.23181E+02
   102    0.27026E+04    0.76228E+00    0.25763E-02   -0.23815E+02
   103    0.27338E+04    0.77582E+00    0.26280E-02   -0.24449E+02
   104    0.27651E+04    0.78920E+00    0.26803E-02   -0.25081E+02
   105    0.27966E+04    0.80237E+00    0.27331E-02   -0.25712E+02
   106    0.28283E+04    0.81540E+00    0.27866E-02   -0.26341E+02
   107    0.28600E+04    0.82814E+00    0.28406E-02   -0.26968E+02
   108    0.28920E+04    0.84066E+00    0.28953E-02   -0.27592E+02
   109    0.29241E+04    0.85289E+00    0.29505E-02   -0.28212E+02
   110    0.29563E+04    0.86484E+00    0.30063E-02   -0.28827E+02
   111    0.29887E+04    0.87657E+00    0.30627E-02   -0.29439E+02
   112    0.30212E+04    0.88802E+00    0.31198E-02   -0.30046E+02
   113    0.30539E+04    0.89917E+00    0.31774E-02   -0.30647E+02
   114    0.30867E+04    0.90997E+00    0.32356E-02   -0.31242E+02
   115    0.31197E+04    0.92056E+00    0.32945E-02   -0.31830E+02
   116    0.31528E+04    0.93071E+00    0.33540E-02   -0.32410E+02
   117    0.31861E+04    0.94050E+00    0.34141E-02   -0.32982E+02
   118    0.32195E+04    0.95009E+00    0.34748E-02   -0.33547E+02
   119    0.32529E+04    0.95931E+00    0.35362E-02   -0.34102E+02
   120    0.32865E+04    0.96803E+00    0.35982E-02   -0.34647E+02
   121    0.33201E+04    0.97654E+00    0.36608E-02   -0.35182E+02
   122    0.33537E+04    0.98454E+00    0.37241E-02   -0.35707E+02
   123    0.33874E+04    0.99211E+00    0.37881E-02   -0.36221E+02
   124    0.34211E+04    0.99932E+00    0.38527E-02   -0.36722E+02
   125    0.34548E+04    0.10061E+01    0.39179E-02   -0.37212E+02
   126    0.34886E+04    0.10125E+01    0.39839E-02   -0.37689E+02
   127    0.35224E+04    0.10185E+01    0.40505E-02   -0.38153E+02
   128    0.35561E+04    0.10240E+01    0.41177E-02   -0.38604E+02
   129    0.35899E+04    0.10291E+01    0.41857E-02   -0.39041E+02
   130    0.36237E+04    0.10337E+01    0.42543E-02   -0.39462E+02
   131    0.36575E+04    0.10379E+01    0.43237E-02   -0.39870E+02
   132    0.36913E+04    0.10416E+01    0.43937E-02   -0.40261E+02
   133    0.37250E+04    0.10449E+01    0.44645E-02   -0.40638E+02
   134    0.37587E+04    0.10477E+01    0.45359E-02   -0.40997E+02
   135    0.37924E+04    0.10501E+01    0.46081E-02   -0.41339E+02
   136    0.38259E+04    0.10519E+01    0.46810E-02   -0.41662E+02
   137    0.38594E+04    0.10534E+01    0.47547E-02   -0.41968E+02
   138    0.38928E+04    0.10543E+01    0.48290E-02   -0.42255E+02
   139    0.39260E+04    0.10549E+01    0.49042E-02   -0.42523E+02
   140    0.39593E+04    0.10549E+01    0.49800E-02   -0.42773E+02
   141    0.39923E+04    0.10544E+01    0.50567E-02   -0.43002E+02
   142    0.40253E+04    0.10535E+01    0.51341E-02   -0.43211E+02
   143    0.40582E+04    0.10522E+01    0.52122E-02   -0.43400E+02
   144    0.40909E+04    0.10503E+01    0.52912E-02   -0.43569E+02
   145    0.41234E+04    0.10481E+01    0.53709E-02   -0.43716E+02
   146    0.41561E+04    0.10454E+01    0.54514E-02   -0.43842E+02
   147    0.41883E+04    0.10423E+01    0.55327E-02   -0.43945E+02
   148    0.42204E+04    0.10387E+01    0.56148E-02   -0.44028E+02
   149    0.42524E+04    0.10347E+01    0.56977E-02   -0.44087E+02
   150    0.42841E+04    0.10303E+01    0.57815E-02   -0.44122E+02
   151    0.43157E+04    0.10256E+01    0.58660E-02   -0.44135E+02
   152    0.43470E+04    0.10203E+01    0.59514E-02   -0.44125E+02
   153    0.43781E+04    0.10147E+01    0.60376E-02   -0.44090E+02
   154    0.44090E+04    0.10087E+01    0.61246E-02   -0.44031E+02
   155    0.44397E+04    0.10024E+01    0.62124E-02   -0.43948E+02
   156    0.44701E+04    0.99575E+00    0.63011E-02   -0.43841E+02
   157    0.45003E+04    0.98875E+00    0.63907E-02   -0.43708E+02
   158    0.45302E+04    0.98148E+00    0.64810E-02   -0.43551E+02
   159    0.45599E+04    0.97379E+00    0.65723E-02   -0.43369E+02
   160    0.45893E+04    0.96582E+00    0.66643E-02   -0.43161E+02
   161    0.46185E+04    0.95765E+00    0.67572E-02   -0.42928E+02
   162    0.46474E+04    0.94914E+00    0.68510E-02   -0.42671E+02
   163    0.46761E+04    0.94035E+00    0.69456E-02   -0.42387E+02
   164    0.47044E+04    0.93137E+00    0.70411E-02   -0.42078E+02
   165    0.47325E+04    0.92211E+00    0.71374E-02   -0.41742E+02
   166    0.47604E+04    0.91272E+00    0.72346E-02   -0.41381E+02
   167    0.47879E+04    0.90299E+00    0.73326E-02   -0.40995E+02
   168    0.48151E+04    0.89327E+00    0.74315E-02   -0.40582E+02
   169    0.48419E+04    0.88329E+00    0.75312E-02   -0.40142E+02
   170    0.48684E+04    0.87325E+00    0.76318E-02   -0.39677E+02
   171    0.48945E+04    0.86315E+00    0.77332E-02   -0.39183E+02
   172    0.49202E+04    0.85293E+00    0.78355E-02   -0.38664E+02
   173    0.49454E+04    0.84258E+00    0.79385E-02   -0.38118E+02
   174    0.49703E+04    0.83240E+00    0.80425E-02   -0.37546E+02
   175    0.49948E+04    0.82210E+00    0.81472E-02   -0.36947E+02
   176    0.50188E+04    0.81188E+00    0.82528E-02   -0.36321E+02
   177    0.50424E+04    0.80169E+00    0.83592E-02   -0.35669E+02
   178    0.50656E+04    0.79173E+00    0.84664E-02   -0.34990E+02
   179    0.50883E+04    0.78172E+00    0.85744E-02   -0.34284E+02
   180    0.51107E+04    0.77188E+00    0.86833E-02   -0.33553E+02
   181    0.51325E+04    0.76220E+00    0.87929E-02   -0.32797E+02
   182    0.51539E+04    0.75276E+00    0.89033E-02   -0.32013E+02
   183    0.51748E+04    0.74348E+00    0.90145E-02   -0.31204E+02
   184    0.51953E+04    0.73444E+00    0.91265E-02   -0.30368E+02
   185    0.52153E+04    0.72578E+00    0.92393E-02   -0.29509E+02
   186    0.52345E+04    0.71736E+00    0.93528E-02   -0.28623E+02
   187    0.52536E+04    0.70933E+00    0.94671E-02   -0.27711E+02
   188    0.52721E+04    0.70166E+00    0.95821E-02   -0.26775E+02
   189    0.52901E+04    0.69440E+00    0.96979E-02   -0.25814E+02
   190    0.53079E+04    0.68759E+00    0.98144E-02   -0.24830E+02
   191    0.53248E+04    0.68125E+00    0.99316E-02   -0.23819E+02
   192    0.53413E+04    0.67542E+00    0.10050E-01   -0.22784E+02
   193    0.53572E+04    0.67012E+00    0.10168E-01   -0.21728E+02
   194    0.53728E+04    0.66539E+00    0.10288E-01   -0.20646E+02
   195    0.53878E+04    0.66127E+00    0.10408E-01   -0.19542E+02
   196    0.54021E+04    0.65779E+00    0.10528E-01   -0.18415E+02
   197    0.54161E+04    0.65500E+00    0.10650E-01   -0.17266E+02
   198    0.54295E+04    0.65291E+00    0.10772E-01   -0.16095E+02
   199    0.54424E+04    0.65157E+00    0.10895E-01   -0.14902E+02
   200    0.54548E+04    0.65100E+00    0.11018E-01   -0.13688E+02
   201    0.54666E+04    0.65126E+00    0.11142E-01   -0.12452E+02
   202    0.54779E+04    0.65235E+00    0.11267E-01   -0.11197E+02
   203    0.54886E+04    0.65434E+00    0.11392E-01   -0.99200E+01
   204    0.54987E+04    0.65725E+00    0.11518E-01   -0.86254E+01
   205    0.55082E+04    0.66112E+00    0.11644E-01   -0.73107E+01
   206    0.55171E+04    0.66598E+00    0.11771E-01   -0.59770E+01
   207    0.55254E+04    0.67186E+00    0.11899E-01   -0.46248E+01
   208    0.55331E+04    0.67881E+00    0.12027E-01   -0.32547E+01
   209    0.55401E+04    0.68684E+00    0.12156E-01   -0.18669E+01
   210    0.55465E+04    0.69602E+00    0.12285E-01   -0.46231E+00
   211    0.55524E+04    0.70636E+00    0.12415E-01    0.95894E+00
   212    0.55575E+04    0.71790E+00    0.12546E-01    0.23959E+01
   213    0.55622E+04    0.73069E+00    0.12677E-01    0.38488E+01
   214    0.55661E+04    0.74470E+00    0.12808E-01    0.53162E+01
   215    0.55695E+04    0.76014E+00    0.12940E-01    0.67976E+01
   216    0.55722E+04    0.77681E+00    0.13072E-01    0.82934E+01
   217    0.55744E+04    0.79488E+00    0.13205E-01    0.98016E+01
   218    0.55759E+04    0.81433E+00    0.13338E-01    0.11322E+02
   219    0.55768E+04    0.83518E+00    0.13472E-01    0.12857E+02
   220    0.55772E+04    0.85756E+00    0.13606E-01    0.14401E+02
   221    0.55769E+04    0.88140E+00    0.13741E-01    0.15956E+02
   222    0.55761E+04    0.90685E+00    0.13876E-01    0.17521E+02
   223    0.55746E+04    0.93383E+00    0.14011E-01    0.19097E+02
   224    0.55725E+04    0.96234E+00    0.14147E-01    0.20679E+02
   225    0.55699E+04    0.99254E+00    0.14283E-01    0.22272E+02
   226    0.55666E+04    0.10244E+01    0.14420E-01    0.23871E+02
   227    0.55627E+04    0.10580E+01    0.14556E-01    0.25478E+02
   228    0.55583E+04    0.10932E+01    0.14693E-01    0.27091E+02
   229    0.55533E+04    0.11301E+01    0.14831E-01    0.28709E+02
   230    0.55476E+04    0.11689E+01    0.14968E-01    0.30333E+02
   231    0.55412E+04    0.12094E+01    0.15106E-01    0.31961E+02
   232    0.55344E+04    0.12517E+01    0.15245E-01    0.33593E+02
