#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   431    0.16990E+04   -0.49890E+02    0.37482E-07   -0.49890E+02    0.18801E+02    0.34739E-08    0.37482E-07    0.34739E-08    0.10403E-12
   432    0.17050E+04   -0.51131E+02    0.36736E-07   -0.51131E+02    0.18672E+02    0.34843E-08    0.36736E-07    0.34843E-08    0.10320E-12
   433    0.17114E+04   -0.52341E+02    0.35999E-07   -0.52341E+02    0.18541E+02    0.34939E-08    0.35999E-07    0.34939E-08    0.10238E-12
   434    0.17180E+04   -0.53523E+02    0.35271E-07   -0.53523E+02    0.18407E+02    0.35027E-08    0.35271E-07    0.35027E-08    0.10156E-12
   435    0.17247E+04   -0.54676E+02    0.34552E-07   -0.54676E+02    0.18271E+02    0.35107E-08    0.34552E-07    0.35107E-08    0.10075E-12
   436    0.17318E+04   -0.55799E+02    0.33843E-07   -0.55799E+02    0.18132E+02    0.35178E-08    0.33843E-07    0.35178E-08    0.99955E-13
   437    0.17391E+04   -0.56891E+02    0.33144E-07   -0.56891E+02    0.17991E+02    0.35239E-08    0.33144E-07    0.35239E-08    0.99164E-13
   438    0.17466E+04   -0.57951E+02    0.32455E-07   -0.57951E+02    0.17847E+02    0.35291E-08    0.32455E-07    0.35291E-08    0.98381E-13
   439    0.17543E+04   -0.58982E+02    0.31776E-07   -0.58982E+02    0.17701E+02    0.35331E-08    0.31776E-07    0.35331E-08    0.97606E-13
   440    0.17622E+04   -0.59980E+02    0.31107E-07   -0.59980E+02    0.17553E+02    0.35361E-08    0.31107E-07    0.35361E-08    0.96838E-13
   441    0.17703E+04   -0.60947E+02    0.30449E-07   -0.60947E+02    0.17402E+02    0.35378E-08    0.30449E-07    0.35378E-08    0.96077E-13
   442    0.17785E+04   -0.61881E+02    0.29802E-07   -0.61881E+02    0.17250E+02    0.35384E-08    0.29802E-07    0.35384E-08    0.95324E-13
   443    0.17870E+04   -0.62784E+02    0.29165E-07   -0.62784E+02    0.17095E+02    0.35376E-08    0.29165E-07    0.35376E-08    0.94578E-13
   444    0.17957E+04   -0.63653E+02    0.28540E-07   -0.63653E+02    0.16939E+02    0.35355E-08    0.28540E-07    0.35355E-08    0.93839E-13
   445    0.18045E+04   -0.64489E+02    0.27927E-07   -0.64489E+02    0.16780E+02    0.35320E-08    0.27927E-07    0.35320E-08    0.93107E-13
   446    0.18134E+04   -0.65291E+02    0.27325E-07   -0.65291E+02    0.16620E+02    0.35270E-08    0.27325E-07    0.35270E-08    0.92382E-13
   447    0.18225E+04   -0.66062E+02    0.26734E-07   -0.66062E+02    0.16459E+02    0.35206E-08    0.26734E-07    0.35206E-08    0.91664E-13
   448    0.18317E+04   -0.66798E+02    0.26156E-07   -0.66798E+02    0.16294E+02    0.35125E-08    0.26156E-07    0.35125E-08    0.90953E-13
   449    0.18412E+04   -0.67500E+02    0.25590E-07   -0.67500E+02    0.16129E+02    0.35029E-08    0.25590E-07    0.35029E-08    0.90248E-13
   450    0.18507E+04   -0.68169E+02    0.25036E-07   -0.68169E+02    0.15964E+02    0.34915E-08    0.25036E-07    0.34915E-08    0.89550E-13
   451    0.18604E+04   -0.68803E+02    0.24495E-07   -0.68803E+02    0.15796E+02    0.34784E-08    0.24495E-07    0.34784E-08    0.88858E-13
   452    0.18702E+04   -0.69404E+02    0.23966E-07   -0.69404E+02    0.15627E+02    0.34637E-08    0.23966E-07    0.34637E-08    0.88172E-13
   453    0.18801E+04   -0.69970E+02    0.23450E-07   -0.69970E+02    0.15457E+02    0.34473E-08    0.23450E-07    0.34473E-08    0.87493E-13
   454    0.18901E+04   -0.70503E+02    0.22945E-07   -0.70503E+02    0.15286E+02    0.34293E-08    0.22945E-07    0.34293E-08    0.86820E-13
   455    0.19002E+04   -0.71002E+02    0.22452E-07   -0.71002E+02    0.15114E+02    0.34097E-08    0.22452E-07    0.34097E-08    0.86153E-13
   456    0.19104E+04   -0.71461E+02    0.21972E-07   -0.71461E+02    0.14940E+02    0.33887E-08    0.21972E-07    0.33887E-08    0.85493E-13
   457    0.19207E+04   -0.71893E+02    0.21502E-07   -0.71893E+02    0.14767E+02    0.33661E-08    0.21502E-07    0.33661E-08    0.84838E-13
   458    0.19310E+04   -0.72281E+02    0.21044E-07   -0.72281E+02    0.14593E+02    0.33422E-08    0.21044E-07    0.33422E-08    0.84189E-13
   459    0.19415E+04   -0.72640E+02    0.20597E-07   -0.72640E+02    0.14418E+02    0.33169E-08    0.20597E-07    0.33169E-08    0.83547E-13
   460    0.19520E+04   -0.72964E+02    0.20161E-07   -0.72964E+02    0.14242E+02    0.32902E-08    0.20161E-07    0.32902E-08    0.82910E-13
   461    0.19626E+04   -0.73253E+02    0.19736E-07   -0.73253E+02    0.14066E+02    0.32623E-08    0.19736E-07    0.32623E-08    0.82279E-13
   462    0.19732E+04   -0.73502E+02    0.19322E-07   -0.73502E+02    0.13889E+02    0.32332E-08    0.19322E-07    0.32332E-08    0.81655E-13
   463    0.19838E+04   -0.73729E+02    0.18918E-07   -0.73729E+02    0.13713E+02    0.32028E-08    0.18918E-07    0.32028E-08    0.81035E-13
   464    0.19944E+04   -0.73904E+02    0.18525E-07   -0.73904E+02    0.13537E+02    0.31714E-08    0.18525E-07    0.31714E-08    0.80422E-13
   465    0.20051E+04   -0.74058E+02    0.18141E-07   -0.74058E+02    0.13360E+02    0.31388E-08    0.18141E-07    0.31388E-08    0.79814E-13
   466    0.20158E+04   -0.74167E+02    0.17768E-07   -0.74167E+02    0.13183E+02    0.31052E-08    0.17768E-07    0.31052E-08    0.79212E-13
   467    0.20266E+04   -0.74247E+02    0.17404E-07   -0.74247E+02    0.13006E+02    0.30705E-08    0.17404E-07    0.30705E-08    0.78615E-13
   468    0.20373E+04   -0.74290E+02    0.17050E-07   -0.74290E+02    0.12830E+02    0.30349E-08    0.17050E-07    0.30349E-08    0.78024E-13
   469    0.20480E+04   -0.74304E+02    0.16706E-07   -0.74304E+02    0.12654E+02    0.29984E-08    0.16706E-07    0.29984E-08    0.77439E-13
   470    0.20588E+04   -0.74281E+02    0.16370E-07   -0.74281E+02    0.12478E+02    0.29611E-08    0.16370E-07    0.29611E-08    0.76858E-13
   471    0.20694E+04   -0.74221E+02    0.16044E-07   -0.74221E+02    0.12304E+02    0.29229E-08    0.16044E-07    0.29229E-08    0.76283E-13
   472    0.20802E+04   -0.74132E+02    0.15727E-07   -0.74132E+02    0.12130E+02    0.28839E-08    0.15727E-07    0.28839E-08    0.75714E-13
   473    0.20909E+04   -0.74006E+02    0.15418E-07   -0.74006E+02    0.11957E+02    0.28442E-08    0.15418E-07    0.28442E-08    0.75149E-13
   474    0.21016E+04   -0.73850E+02    0.15118E-07   -0.73850E+02    0.11785E+02    0.28038E-08    0.15118E-07    0.28038E-08    0.74590E-13
   475    0.21123E+04   -0.73657E+02    0.14827E-07   -0.73657E+02    0.11613E+02    0.27628E-08    0.14827E-07    0.27628E-08    0.74036E-13
   476    0.21228E+04   -0.73430E+02    0.14543E-07   -0.73430E+02    0.11443E+02    0.27212E-08    0.14543E-07    0.27212E-08    0.73487E-13
   477    0.21333E+04   -0.73177E+02    0.14268E-07   -0.73177E+02    0.11273E+02    0.26790E-08    0.14268E-07    0.26790E-08    0.72943E-13
   478    0.21438E+04   -0.72881E+02    0.14001E-07   -0.72881E+02    0.11104E+02    0.26363E-08    0.14001E-07    0.26363E-08    0.72404E-13
   479    0.21542E+04   -0.72566E+02    0.13741E-07   -0.72566E+02    0.10938E+02    0.25932E-08    0.13741E-07    0.25932E-08    0.71870E-13
   480    0.21646E+04   -0.72212E+02    0.13489E-07   -0.72212E+02    0.10772E+02    0.25496E-08    0.13489E-07    0.25496E-08    0.71341E-13
   481    0.21749E+04   -0.71823E+02    0.13244E-07   -0.71823E+02    0.10608E+02    0.25057E-08    0.13244E-07    0.25057E-08    0.70817E-13
   482    0.21852E+04   -0.71405E+02    0.13006E-07   -0.71405E+02    0.10447E+02    0.24615E-08    0.13006E-07    0.24615E-08    0.70297E-13
   483    0.21952E+04   -0.70961E+02    0.12775E-07   -0.70961E+02    0.10286E+02    0.24170E-08    0.12775E-07    0.24170E-08    0.69782E-13
   484    0.22052E+04   -0.70484E+02    0.12552E-07   -0.70484E+02    0.10128E+02    0.23723E-08    0.12552E-07    0.23723E-08    0.69272E-13
   485    0.22152E+04   -0.69975E+02    0.12335E-07   -0.69975E+02    0.99706E+01    0.23274E-08    0.12335E-07    0.23274E-08    0.68766E-13
   486    0.22251E+04   -0.69438E+02    0.12124E-07   -0.69438E+02    0.98164E+01    0.22824E-08    0.12124E-07    0.22824E-08    0.68265E-13
   487    0.22348E+04   -0.68871E+02    0.11919E-07   -0.68871E+02    0.96642E+01    0.22372E-08    0.11919E-07    0.22372E-08    0.67769E-13
   488    0.22444E+04   -0.68275E+02    0.11721E-07   -0.68275E+02    0.95134E+01    0.21920E-08    0.11721E-07    0.21920E-08    0.67277E-13
   489    0.22539E+04   -0.67651E+02    0.11529E-07   -0.67651E+02    0.93654E+01    0.21469E-08    0.11529E-07    0.21469E-08    0.66789E-13
   490    0.22634E+04   -0.66997E+02    0.11343E-07   -0.66997E+02    0.92203E+01    0.21017E-08    0.11343E-07    0.21017E-08    0.66306E-13
   491    0.22725E+04   -0.66317E+02    0.11162E-07   -0.66317E+02    0.90772E+01    0.20567E-08    0.11162E-07    0.20567E-08    0.65827E-13
   492    0.22817E+04   -0.65611E+02    0.10986E-07   -0.65611E+02    0.89369E+01    0.20118E-08    0.10986E-07    0.20118E-08    0.65352E-13
   493    0.22907E+04   -0.64876E+02    0.10816E-07   -0.64876E+02    0.87980E+01    0.19671E-08    0.10816E-07    0.19671E-08    0.64881E-13
   494    0.22996E+04   -0.64116E+02    0.10651E-07   -0.64116E+02    0.86633E+01    0.19226E-08    0.10651E-07    0.19226E-08    0.64415E-13
   495    0.23083E+04   -0.63330E+02    0.10491E-07   -0.63330E+02    0.85308E+01    0.18784E-08    0.10491E-07    0.18784E-08    0.63952E-13
   496    0.23168E+04   -0.62519E+02    0.10335E-07   -0.62519E+02    0.84017E+01    0.18345E-08    0.10335E-07    0.18345E-08    0.63494E-13
   497    0.23252E+04   -0.61683E+02    0.10185E-07   -0.61683E+02    0.82755E+01    0.17910E-08    0.10185E-07    0.17910E-08    0.63040E-13
   498    0.23335E+04   -0.60824E+02    0.10038E-07   -0.60824E+02    0.81513E+01    0.17478E-08    0.10038E-07    0.17478E-08    0.62589E-13
   499    0.23416E+04   -0.59939E+02    0.98960E-08   -0.59939E+02    0.80314E+01    0.17052E-08    0.98960E-08    0.17052E-08    0.62143E-13
   500    0.23496E+04   -0.59034E+02    0.97578E-08   -0.59034E+02    0.79136E+01    0.16630E-08    0.97578E-08    0.16630E-08    0.61700E-13
   501    0.23573E+04   -0.58106E+02    0.96235E-08   -0.58106E+02    0.78000E+01    0.16214E-08    0.96235E-08    0.16214E-08    0.61261E-13
   502    0.23649E+04   -0.57155E+02    0.94931E-08   -0.57155E+02    0.76900E+01    0.15804E-08    0.94931E-08    0.15804E-08    0.60825E-13
   503    0.23723E+04   -0.56183E+02    0.93664E-08   -0.56183E+02    0.75828E+01    0.15398E-08    0.93664E-08    0.15398E-08    0.60394E-13
   504    0.23795E+04   -0.55190E+02    0.92435E-08   -0.55190E+02    0.74791E+01    0.14998E-08    0.92435E-08    0.14998E-08    0.59966E-13
   505    0.23867E+04   -0.54179E+02    0.91243E-08   -0.54179E+02    0.73797E+01    0.14603E-08    0.91243E-08    0.14603E-08    0.59542E-13
   506    0.23935E+04   -0.53146E+02    0.90088E-08   -0.53146E+02    0.72840E+01    0.14213E-08    0.90088E-08    0.14213E-08    0.59121E-13
   507    0.24002E+04   -0.52096E+02    0.88969E-08   -0.52096E+02    0.71916E+01    0.13828E-08    0.88969E-08    0.13828E-08    0.58704E-13
   508    0.24067E+04   -0.51027E+02    0.87885E-08   -0.51027E+02    0.71037E+01    0.13448E-08    0.87885E-08    0.13448E-08    0.58291E-13
   509    0.24130E+04   -0.49941E+02    0.86838E-08   -0.49941E+02    0.70193E+01    0.13072E-08    0.86838E-08    0.13072E-08    0.57881E-13
   510    0.24190E+04   -0.48839E+02    0.85825E-08   -0.48839E+02    0.69390E+01    0.12701E-08    0.85825E-08    0.12701E-08    0.57474E-13
   511    0.24250E+04   -0.47720E+02    0.84846E-08   -0.47720E+02    0.68626E+01    0.12335E-08    0.84846E-08    0.12335E-08    0.57071E-13
   512    0.24306E+04   -0.46585E+02    0.83902E-08   -0.46585E+02    0.67904E+01    0.11973E-08    0.83902E-08    0.11973E-08    0.56672E-13
   513    0.24361E+04   -0.45436E+02    0.82991E-08   -0.45436E+02    0.67223E+01    0.11616E-08    0.82991E-08    0.11616E-08    0.56276E-13
   514    0.24414E+04   -0.44274E+02    0.82114E-08   -0.44274E+02    0.66586E+01    0.11263E-08    0.82114E-08    0.11263E-08    0.55883E-13
   515    0.24465E+04   -0.43097E+02    0.81270E-08   -0.43097E+02    0.65992E+01    0.10914E-08    0.81270E-08    0.10914E-08    0.55493E-13
   516    0.24514E+04   -0.41908E+02    0.80458E-08   -0.41908E+02    0.65441E+01    0.10569E-08    0.80458E-08    0.10569E-08    0.55107E-13
   517    0.24560E+04   -0.40707E+02    0.79678E-08   -0.40707E+02    0.64935E+01    0.10228E-08    0.79678E-08    0.10228E-08    0.54725E-13
   518    0.24604E+04   -0.39495E+02    0.78930E-08   -0.39495E+02    0.64474E+01    0.98915E-09    0.78930E-08    0.98915E-09    0.54345E-13
   519    0.24647E+04   -0.38272E+02    0.78213E-08   -0.38272E+02    0.64058E+01    0.95585E-09    0.78213E-08    0.95585E-09    0.53969E-13
   520    0.24687E+04   -0.37039E+02    0.77527E-08   -0.37039E+02    0.63687E+01    0.92292E-09    0.77527E-08    0.92292E-09    0.53596E-13
   521    0.24723E+04   -0.35798E+02    0.76871E-08   -0.35798E+02    0.63362E+01    0.89036E-09    0.76871E-08    0.89036E-09    0.53226E-13
   522    0.24758E+04   -0.34547E+02    0.76246E-08   -0.34547E+02    0.63086E+01    0.85815E-09    0.76246E-08    0.85815E-09    0.52859E-13
   523    0.24792E+04   -0.33289E+02    0.75650E-08   -0.33289E+02    0.62856E+01    0.82630E-09    0.75650E-08    0.82630E-09    0.52496E-13
   524    0.24823E+04   -0.32025E+02    0.75083E-08   -0.32025E+02    0.62673E+01    0.79477E-09    0.75083E-08    0.79477E-09    0.52135E-13
   525    0.24850E+04   -0.30753E+02    0.74544E-08   -0.30753E+02    0.62538E+01    0.76358E-09    0.74544E-08    0.76358E-09    0.51778E-13
   526    0.24876E+04   -0.29475E+02    0.74034E-08   -0.29475E+02    0.62451E+01    0.73271E-09    0.74034E-08    0.73271E-09    0.51424E-13
   527    0.24901E+04   -0.28193E+02    0.73552E-08   -0.28193E+02    0.62413E+01    0.70214E-09    0.73552E-08    0.70214E-09    0.51072E-13
   528    0.24923E+04   -0.26909E+02    0.73098E-08   -0.26909E+02    0.62423E+01    0.67188E-09    0.73098E-08    0.67188E-09    0.50724E-13
   529    0.24943E+04   -0.25619E+02    0.72670E-08   -0.25619E+02    0.62484E+01    0.64191E-09    0.72670E-08    0.64191E-09    0.50378E-13
   530    0.24959E+04   -0.24329E+02    0.72269E-08   -0.24329E+02    0.62594E+01    0.61222E-09    0.72269E-08    0.61222E-09    0.50036E-13
   531    0.24976E+04   -0.23034E+02    0.71894E-08   -0.23034E+02    0.62753E+01    0.58280E-09    0.71894E-08    0.58280E-09    0.49696E-13
   532    0.24988E+04   -0.21740E+02    0.71545E-08   -0.21740E+02    0.62963E+01    0.55364E-09    0.71545E-08    0.55364E-09    0.49360E-13
   533    0.24997E+04   -0.20445E+02    0.71222E-08   -0.20445E+02    0.63222E+01    0.52475E-09    0.71222E-08    0.52475E-09    0.49026E-13
   534    0.25005E+04   -0.19151E+02    0.70923E-08   -0.19151E+02    0.63532E+01    0.49609E-09    0.70923E-08    0.49609E-09    0.48694E-13
   535    0.25011E+04   -0.17858E+02    0.70650E-08   -0.17858E+02    0.63894E+01    0.46767E-09    0.70650E-08    0.46767E-09    0.48366E-13
   536    0.25014E+04   -0.16567E+02    0.70400E-08   -0.16567E+02    0.64305E+01    0.43948E-09    0.70400E-08    0.43948E-09    0.48040E-13
   537    0.25016E+04   -0.15278E+02    0.70174E-08   -0.15278E+02    0.64767E+01    0.41151E-09    0.70174E-08    0.41151E-09    0.47718E-13
   538    0.25014E+04   -0.13992E+02    0.69971E-08   -0.13992E+02    0.65281E+01    0.38374E-09    0.69971E-08    0.38374E-09    0.47397E-13
   539    0.25010E+04   -0.12711E+02    0.69791E-08   -0.12711E+02    0.65844E+01    0.35617E-09    0.69791E-08    0.35617E-09    0.47080E-13
   540    0.25005E+04   -0.11434E+02    0.69633E-08   -0.11434E+02    0.66460E+01    0.32880E-09    0.69633E-08    0.32880E-09    0.46765E-13
   541    0.24996E+04   -0.10163E+02    0.69498E-08   -0.10163E+02    0.67126E+01    0.30160E-09    0.69498E-08    0.30160E-09    0.46453E-13
   542    0.24986E+04   -0.88982E+01    0.69384E-08   -0.88982E+01    0.67843E+01    0.27458E-09    0.69384E-08    0.27458E-09    0.46143E-13
   543    0.24973E+04   -0.76402E+01    0.69292E-08   -0.76402E+01    0.68612E+01    0.24771E-09    0.69292E-08    0.24771E-09    0.45836E-13
   544    0.24959E+04   -0.63898E+01    0.69220E-08   -0.63898E+01    0.69432E+01    0.22101E-09    0.69220E-08    0.22101E-09    0.45531E-13
   545    0.24942E+04   -0.51476E+01    0.69169E-08   -0.51476E+01    0.70303E+01    0.19444E-09    0.69169E-08    0.19444E-09    0.45229E-13
   546    0.24923E+04   -0.39145E+01    0.69138E-08   -0.39145E+01    0.71222E+01    0.16801E-09    0.69138E-08    0.16801E-09    0.44929E-13
   547    0.24901E+04   -0.26908E+01    0.69126E-08   -0.26908E+01    0.72192E+01    0.14170E-09    0.69126E-08    0.14170E-09    0.44632E-13
   548    0.24878E+04   -0.14776E+01    0.69133E-08   -0.14776E+01    0.73212E+01    0.11551E-09    0.69133E-08    0.11551E-09    0.44337E-13
   549    0.24852E+04   -0.27546E+00    0.69159E-08   -0.27546E+00    0.74283E+01    0.89431E-10    0.69159E-08    0.89431E-10    0.44044E-13
   550    0.24824E+04    0.91495E+00    0.69204E-08    0.91495E+00    0.75405E+01    0.63447E-10    0.69204E-08    0.63447E-10    0.43754E-13
   551    0.24795E+04    0.20931E+01    0.69266E-08    0.20931E+01    0.76578E+01    0.37553E-10    0.69266E-08    0.37553E-10    0.43466E-13
   552    0.24763E+04    0.32578E+01    0.69346E-08    0.32578E+01    0.77801E+01    0.11751E-10    0.69346E-08    0.11751E-10    0.43180E-13
   553    0.24729E+04    0.44090E+01    0.69443E-08    0.44090E+01    0.79061E+01   -0.13956E-10    0.69443E-08   -0.13956E-10    0.42897E-13
   554    0.24693E+04    0.55457E+01    0.69557E-08    0.55457E+01    0.80386E+01   -0.39565E-10    0.69557E-08   -0.39565E-10    0.42616E-13
   555    0.24655E+04    0.66671E+01    0.69689E-08    0.66671E+01    0.81754E+01   -0.65071E-10    0.69689E-08   -0.65071E-10    0.42337E-13
   556    0.24615E+04    0.77731E+01    0.69836E-08    0.77731E+01    0.83174E+01   -0.90473E-10    0.69836E-08   -0.90473E-10    0.42060E-13
   557    0.24573E+04    0.88619E+01    0.70000E-08    0.88619E+01    0.84637E+01   -0.11577E-09    0.70000E-08   -0.11577E-09    0.41786E-13
   558    0.24529E+04    0.99341E+01    0.70180E-08    0.99341E+01    0.86159E+01   -0.14095E-09    0.70180E-08   -0.14095E-09    0.41513E-13
   559    0.24483E+04    0.10989E+02    0.70376E-08    0.10989E+02    0.87716E+01   -0.16601E-09    0.70376E-08   -0.16601E-09    0.41243E-13
   560    0.24435E+04    0.12025E+02    0.70587E-08    0.12025E+02    0.89318E+01   -0.19096E-09    0.70587E-08   -0.19096E-09    0.40975E-13
   561    0.24385E+04    0.13042E+02    0.70814E-08    0.13042E+02    0.90971E+01   -0.21579E-09    0.70814E-08   -0.21579E-09    0.40709E-13
   562    0.24334E+04    0.14039E+02    0.71055E-08    0.14039E+02    0.92675E+01   -0.24049E-09    0.71055E-08   -0.24049E-09    0.40446E-13
   563    0.24281E+04    0.15019E+02    0.71311E-08    0.15019E+02    0.94415E+01   -0.26506E-09    0.71311E-08   -0.26506E-09    0.40184E-13
   564    0.24226E+04    0.15975E+02    0.71582E-08    0.15975E+02    0.96214E+01   -0.28950E-09    0.71582E-08   -0.28950E-09    0.39925E-13
   565    0.24169E+04    0.16911E+02    0.71867E-08    0.16911E+02    0.98042E+01   -0.31380E-09    0.71867E-08   -0.31380E-09    0.39667E-13
   566    0.24111E+04    0.17825E+02    0.72165E-08    0.17825E+02    0.99922E+01   -0.33797E-09    0.72165E-08   -0.33797E-09    0.39412E-13
   567    0.24051E+04    0.18716E+02    0.72477E-08    0.18716E+02    0.10184E+02   -0.36199E-09    0.72477E-08   -0.36199E-09    0.39159E-13
   568    0.23990E+04    0.19585E+02    0.72803E-08    0.19585E+02    0.10381E+02   -0.38587E-09    0.72803E-08   -0.38587E-09    0.38907E-13
   569    0.23926E+04    0.20432E+02    0.73141E-08    0.20432E+02    0.10582E+02   -0.40960E-09    0.73141E-08   -0.40960E-09    0.38658E-13
   570    0.23862E+04    0.21253E+02    0.73493E-08    0.21253E+02    0.10787E+02   -0.43318E-09    0.73493E-08   -0.43318E-09    0.38411E-13
   571    0.23795E+04    0.22049E+02    0.73857E-08    0.22049E+02    0.10996E+02   -0.45661E-09    0.73857E-08   -0.45661E-09    0.38165E-13
   572    0.23727E+04    0.22822E+02    0.74233E-08    0.22822E+02    0.11209E+02   -0.47987E-09    0.74233E-08   -0.47987E-09    0.37922E-13
   573    0.23658E+04    0.23568E+02    0.74621E-08    0.23568E+02    0.11425E+02   -0.50297E-09    0.74621E-08   -0.50297E-09    0.37680E-13
   574    0.23588E+04    0.24289E+02    0.75021E-08    0.24289E+02    0.11647E+02   -0.52591E-09    0.75021E-08   -0.52591E-09    0.37441E-13
   575    0.23516E+04    0.24983E+02    0.75433E-08    0.24983E+02    0.11871E+02   -0.54868E-09    0.75433E-08   -0.54868E-09    0.37203E-13
   576    0.23443E+04    0.25651E+02    0.75855E-08    0.25651E+02    0.12099E+02   -0.57128E-09    0.75855E-08   -0.57128E-09    0.36967E-13
   577    0.23368E+04    0.26293E+02    0.76289E-08    0.26293E+02    0.12331E+02   -0.59370E-09    0.76289E-08   -0.59370E-09    0.36733E-13
   578    0.23292E+04    0.26906E+02    0.76733E-08    0.26906E+02    0.12566E+02   -0.61595E-09    0.76733E-08   -0.61595E-09    0.36501E-13
   579    0.23216E+04    0.27492E+02    0.77188E-08    0.27492E+02    0.12806E+02   -0.63801E-09    0.77188E-08   -0.63801E-09    0.36271E-13
   580    0.23138E+04    0.28048E+02    0.77653E-08    0.28048E+02    0.13048E+02   -0.65989E-09    0.77653E-08   -0.65989E-09    0.36043E-13
   581    0.23058E+04    0.28578E+02    0.78127E-08    0.28578E+02    0.13294E+02   -0.68158E-09    0.78127E-08   -0.68158E-09    0.35816E-13
   582    0.22977E+04    0.29077E+02    0.78611E-08    0.29077E+02    0.13543E+02   -0.70307E-09    0.78611E-08   -0.70307E-09    0.35591E-13
   583    0.22896E+04    0.29547E+02    0.79105E-08    0.29547E+02    0.13796E+02   -0.72437E-09    0.79105E-08   -0.72437E-09    0.35368E-13
   584    0.22814E+04    0.29988E+02    0.79608E-08    0.29988E+02    0.14051E+02   -0.74548E-09    0.79608E-08   -0.74548E-09    0.35147E-13
   585    0.22731E+04    0.30399E+02    0.80119E-08    0.30399E+02    0.14309E+02   -0.76638E-09    0.80119E-08   -0.76638E-09    0.34927E-13
   586    0.22647E+04    0.30779E+02    0.80639E-08    0.30779E+02    0.14570E+02   -0.78708E-09    0.80639E-08   -0.78708E-09    0.34709E-13
   587    0.22563E+04    0.31129E+02    0.81167E-08    0.31129E+02    0.14834E+02   -0.80756E-09    0.81167E-08   -0.80756E-09    0.34493E-13
   588    0.22477E+04    0.31448E+02    0.81704E-08    0.31448E+02    0.15100E+02   -0.82784E-09    0.81704E-08   -0.82784E-09    0.34278E-13
   589    0.22390E+04    0.31736E+02    0.82248E-08    0.31736E+02    0.15370E+02   -0.84790E-09    0.82248E-08   -0.84790E-09    0.34065E-13
   590    0.22302E+04    0.31993E+02    0.82799E-08    0.31993E+02    0.15641E+02   -0.86774E-09    0.82799E-08   -0.86774E-09    0.33854E-13
   591    0.22215E+04    0.32219E+02    0.83358E-08    0.32219E+02    0.15916E+02   -0.88736E-09    0.83358E-08   -0.88736E-09    0.33645E-13
   592    0.22126E+04    0.32412E+02    0.83923E-08    0.32412E+02    0.16191E+02   -0.90676E-09    0.83923E-08   -0.90676E-09    0.33437E-13
   593    0.22037E+04    0.32574E+02    0.84496E-08    0.32574E+02    0.16471E+02   -0.92593E-09    0.84496E-08   -0.92593E-09    0.33230E-13
   594    0.21946E+04    0.32704E+02    0.85074E-08    0.32704E+02    0.16752E+02   -0.94486E-09    0.85074E-08   -0.94486E-09    0.33025E-13
   595    0.21855E+04    0.32802E+02    0.85659E-08    0.32802E+02    0.17034E+02   -0.96356E-09    0.85659E-08   -0.96356E-09    0.32822E-13
   596    0.21765E+04    0.32867E+02    0.86250E-08    0.32867E+02    0.17319E+02   -0.98202E-09    0.86250E-08   -0.98202E-09    0.32620E-13
   597    0.21674E+04    0.32900E+02    0.86846E-08    0.32900E+02    0.17604E+02   -0.10002E-08    0.86846E-08   -0.10002E-08    0.32420E-13
   598    0.21585E+04    0.32901E+02    0.87447E-08    0.32901E+02    0.17892E+02   -0.10182E-08    0.87447E-08   -0.10182E-08    0.32222E-13
   599    0.21493E+04    0.32870E+02    0.88054E-08    0.32870E+02    0.18181E+02   -0.10359E-08    0.88054E-08   -0.10359E-08    0.32024E-13
   600    0.21402E+04    0.32805E+02    0.88665E-08    0.32805E+02    0.18473E+02   -0.10534E-08    0.88665E-08   -0.10534E-08    0.31829E-13
   601    0.21310E+04    0.32708E+02    0.89281E-08    0.32708E+02    0.18765E+02   -0.10706E-08    0.89281E-08   -0.10706E-08    0.31634E-13
   602    0.21217E+04    0.32578E+02    0.89902E-08    0.32578E+02    0.19058E+02   -0.10876E-08    0.89902E-08   -0.10876E-08    0.31442E-13
   603    0.21124E+04    0.32416E+02    0.90526E-08    0.32416E+02    0.19353E+02   -0.11043E-08    0.90526E-08   -0.11043E-08    0.31250E-13
   604    0.21033E+04    0.32221E+02    0.91154E-08    0.32221E+02    0.19648E+02   -0.11208E-08    0.91154E-08   -0.11208E-08    0.31060E-13
   605    0.20941E+04    0.31994E+02    0.91787E-08    0.31994E+02    0.19945E+02   -0.11370E-08    0.91787E-08   -0.11370E-08    0.30872E-13
   606    0.20849E+04    0.31733E+02    0.92422E-08    0.31733E+02    0.20241E+02   -0.11529E-08    0.92422E-08   -0.11529E-08    0.30685E-13
   607    0.20755E+04    0.31440E+02    0.93062E-08    0.31440E+02    0.20539E+02   -0.11686E-08    0.93062E-08   -0.11686E-08    0.30499E-13
   608    0.20663E+04    0.31114E+02    0.93704E-08    0.31114E+02    0.20838E+02   -0.11841E-08    0.93704E-08   -0.11841E-08    0.30314E-13
   609    0.20572E+04    0.30755E+02    0.94350E-08    0.30755E+02    0.21136E+02   -0.11993E-08    0.94350E-08   -0.11993E-08    0.30131E-13
   610    0.20480E+04    0.30363E+02    0.94998E-08    0.30363E+02    0.21434E+02   -0.12142E-08    0.94998E-08   -0.12142E-08    0.29950E-13
   611    0.20389E+04    0.29940E+02    0.95649E-08    0.29940E+02    0.21733E+02   -0.12289E-08    0.95649E-08   -0.12289E-08    0.29770E-13
