#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12473E+04    0.13754E+01    0.25598E-04    0.13754E+01    0.69524E-01    0.25915E-08    0.25598E-04    0.25915E-08    0.67279E-10
    44    0.12655E+04    0.12764E+01    0.24434E-04    0.12764E+01    0.75031E-01    0.33995E-08    0.24434E-04    0.33995E-08    0.64091E-10
    45    0.12841E+04    0.11631E+01    0.23359E-04    0.11631E+01    0.80786E-01    0.32541E-08    0.23359E-04    0.32541E-08    0.61103E-10
    46    0.13031E+04    0.10323E+01    0.22380E-04    0.10323E+01    0.86784E-01    0.19415E-08    0.22380E-04    0.19415E-08    0.58298E-10
    47    0.13221E+04    0.88597E+00    0.21483E-04    0.88597E+00    0.93028E-01   -0.23739E-09    0.21483E-04   -0.23739E-09    0.55662E-10
    48    0.13413E+04    0.72969E+00    0.20649E-04    0.72969E+00    0.99530E-01   -0.28531E-08    0.20649E-04   -0.28531E-08    0.53184E-10
    49    0.13607E+04    0.56859E+00    0.19861E-04    0.56859E+00    0.10628E+00   -0.54760E-08    0.19861E-04   -0.54760E-08    0.50853E-10
    50    0.13804E+04    0.40098E+00    0.19100E-04    0.40098E+00    0.11326E+00   -0.76766E-08    0.19100E-04   -0.76766E-08    0.48656E-10
    51    0.14003E+04    0.22333E+00    0.18353E-04    0.22333E+00    0.12044E+00   -0.91224E-08    0.18353E-04   -0.91224E-08    0.46584E-10
    52    0.14206E+04    0.30425E-01    0.17625E-04    0.30425E-01    0.12791E+00   -0.98690E-08    0.17625E-04   -0.98690E-08    0.44627E-10
    53    0.14409E+04   -0.18154E+00    0.16922E-04   -0.18154E+00    0.13581E+00   -0.10069E-07    0.16922E-04   -0.10069E-07    0.42778E-10
    54    0.14611E+04   -0.40839E+00    0.16255E-04   -0.40839E+00    0.14413E+00   -0.98755E-08    0.16255E-04   -0.98755E-08    0.41031E-10
    55    0.14815E+04   -0.64584E+00    0.15630E-04   -0.64584E+00    0.15284E+00   -0.94406E-08    0.15630E-04   -0.94406E-08    0.39377E-10
    56    0.15022E+04   -0.89571E+00    0.15054E-04   -0.89571E+00    0.16179E+00   -0.88956E-08    0.15054E-04   -0.88956E-08    0.37809E-10
    57    0.15233E+04   -0.11578E+01    0.14523E-04   -0.11578E+01    0.17088E+00   -0.82843E-08    0.14523E-04   -0.82843E-08    0.36322E-10
    58    0.15446E+04   -0.14327E+01    0.14028E-04   -0.14327E+01    0.18012E+00   -0.76289E-08    0.14028E-04   -0.76289E-08    0.34912E-10
    59    0.15661E+04   -0.17211E+01    0.13562E-04   -0.17211E+01    0.18955E+00   -0.69518E-08    0.13562E-04   -0.69518E-08    0.33573E-10
    60    0.15877E+04   -0.20220E+01    0.13119E-04   -0.20220E+01    0.19923E+00   -0.62752E-08    0.13119E-04   -0.62752E-08    0.32300E-10
    61    0.16098E+04   -0.23345E+01    0.12692E-04   -0.23345E+01    0.20925E+00   -0.56226E-08    0.12692E-04   -0.56226E-08    0.31090E-10
    62    0.16318E+04   -0.26597E+01    0.12279E-04   -0.26597E+01    0.21960E+00   -0.50234E-08    0.12279E-04   -0.50234E-08    0.29938E-10
    63    0.16539E+04   -0.29985E+01    0.11879E-04   -0.29985E+01    0.23024E+00   -0.45082E-08    0.11879E-04   -0.45082E-08    0.28842E-10
    64    0.16764E+04   -0.33523E+01    0.11491E-04   -0.33523E+01    0.24116E+00   -0.41078E-08    0.11491E-04   -0.41078E-08    0.27798E-10
    65    0.16990E+04   -0.37218E+01    0.11115E-04   -0.37218E+01    0.25236E+00   -0.38527E-08    0.11115E-04   -0.38527E-08    0.26802E-10
    66    0.17218E+04   -0.41053E+01    0.10751E-04   -0.41053E+01    0.26376E+00   -0.37695E-08    0.10751E-04   -0.37695E-08    0.25853E-10
    67    0.17449E+04   -0.44998E+01    0.10399E-04   -0.44998E+01    0.27535E+00   -0.38668E-08    0.10399E-04   -0.38668E-08    0.24947E-10
    68    0.17683E+04   -0.49035E+01    0.10061E-04   -0.49035E+01    0.28719E+00   -0.41492E-08    0.10061E-04   -0.41492E-08    0.24082E-10
    69    0.17920E+04   -0.53146E+01    0.97393E-05   -0.53146E+01    0.29923E+00   -0.46213E-08    0.97393E-05   -0.46213E-08    0.23257E-10
    70    0.18159E+04   -0.57347E+01    0.94350E-05   -0.57347E+01    0.31151E+00   -0.52874E-08    0.94350E-05   -0.52874E-08    0.22467E-10
    71    0.18400E+04   -0.61660E+01    0.91493E-05   -0.61660E+01    0.32403E+00   -0.61274E-08    0.91493E-05   -0.61274E-08    0.21713E-10
    72    0.18643E+04   -0.66100E+01    0.88804E-05   -0.66100E+01    0.33675E+00   -0.70220E-08    0.88804E-05   -0.70220E-08    0.20990E-10
    73    0.18887E+04   -0.70673E+01    0.86260E-05   -0.70673E+01    0.34964E+00   -0.78273E-08    0.86260E-05   -0.78273E-08    0.20299E-10
    74    0.19133E+04   -0.75372E+01    0.83838E-05   -0.75372E+01    0.36270E+00   -0.83992E-08    0.83838E-05   -0.83992E-08    0.19637E-10
    75    0.19382E+04   -0.80182E+01    0.81514E-05   -0.80182E+01    0.37593E+00   -0.85939E-08    0.81514E-05   -0.85939E-08    0.19003E-10
    76    0.19634E+04   -0.85099E+01    0.79268E-05   -0.85099E+01    0.38933E+00   -0.83192E-08    0.79268E-05   -0.83192E-08    0.18395E-10
    77    0.19890E+04   -0.90121E+01    0.77093E-05   -0.90121E+01    0.40289E+00   -0.76913E-08    0.77093E-05   -0.76913E-08    0.17811E-10
    78    0.20149E+04   -0.95260E+01    0.74984E-05   -0.95260E+01    0.41664E+00   -0.68780E-08    0.74984E-05   -0.68780E-08    0.17252E-10
    79    0.20409E+04   -0.10048E+02    0.72937E-05   -0.10048E+02    0.43053E+00   -0.60474E-08    0.72937E-05   -0.60474E-08    0.16714E-10
    80    0.20673E+04   -0.10580E+02    0.70948E-05   -0.10580E+02    0.44455E+00   -0.53673E-08    0.70948E-05   -0.53673E-08    0.16198E-10
    81    0.20938E+04   -0.11121E+02    0.69013E-05   -0.11121E+02    0.45867E+00   -0.49712E-08    0.69013E-05   -0.49712E-08    0.15703E-10
    82    0.21206E+04   -0.11671E+02    0.67135E-05   -0.11671E+02    0.47289E+00   -0.48542E-08    0.67135E-05   -0.48542E-08    0.15226E-10
    83    0.21476E+04   -0.12230E+02    0.65317E-05   -0.12230E+02    0.48720E+00   -0.49768E-08    0.65317E-05   -0.49768E-08    0.14768E-10
    84    0.21748E+04   -0.12795E+02    0.63563E-05   -0.12795E+02    0.50158E+00   -0.52993E-08    0.63563E-05   -0.52993E-08    0.14328E-10
    85    0.22021E+04   -0.13368E+02    0.61875E-05   -0.13368E+02    0.51603E+00   -0.57824E-08    0.61875E-05   -0.57824E-08    0.13905E-10
    86    0.22297E+04   -0.13947E+02    0.60257E-05   -0.13947E+02    0.53054E+00   -0.63845E-08    0.60257E-05   -0.63845E-08    0.13497E-10
    87    0.22577E+04   -0.14531E+02    0.58704E-05   -0.14531E+02    0.54509E+00   -0.70553E-08    0.58704E-05   -0.70553E-08    0.13105E-10
    88    0.22856E+04   -0.15122E+02    0.57211E-05   -0.15122E+02    0.55970E+00   -0.77427E-08    0.57211E-05   -0.77427E-08    0.12728E-10
    89    0.23139E+04   -0.15720E+02    0.55774E-05   -0.15720E+02    0.57435E+00   -0.83944E-08    0.55774E-05   -0.83944E-08    0.12364E-10
    90    0.23424E+04   -0.16322E+02    0.54388E-05   -0.16322E+02    0.58899E+00   -0.89583E-08    0.54388E-05   -0.89583E-08    0.12013E-10
    91    0.23711E+04   -0.16930E+02    0.53049E-05   -0.16930E+02    0.60363E+00   -0.93924E-08    0.53049E-05   -0.93924E-08    0.11674E-10
    92    0.24000E+04   -0.17542E+02    0.51754E-05   -0.17542E+02    0.61825E+00   -0.96965E-08    0.51754E-05   -0.96965E-08    0.11346E-10
    93    0.24292E+04   -0.18159E+02    0.50502E-05   -0.18159E+02    0.63285E+00   -0.98809E-08    0.50502E-05   -0.98809E-08    0.11030E-10
    94    0.24585E+04   -0.18780E+02    0.49292E-05   -0.18780E+02    0.64738E+00   -0.99557E-08    0.49292E-05   -0.99557E-08    0.10725E-10
    95    0.24881E+04   -0.19404E+02    0.48122E-05   -0.19404E+02    0.66185E+00   -0.99311E-08    0.48122E-05   -0.99311E-08    0.10431E-10
    96    0.25176E+04   -0.20032E+02    0.46990E-05   -0.20032E+02    0.67625E+00   -0.98172E-08    0.46990E-05   -0.98172E-08    0.10147E-10
    97    0.25476E+04   -0.20662E+02    0.45897E-05   -0.20662E+02    0.69055E+00   -0.96242E-08    0.45897E-05   -0.96242E-08    0.98732E-11
    98    0.25778E+04   -0.21293E+02    0.44840E-05   -0.21293E+02    0.70476E+00   -0.93624E-08    0.44840E-05   -0.93624E-08    0.96089E-11
    99    0.26080E+04   -0.21927E+02    0.43817E-05   -0.21927E+02    0.71883E+00   -0.90418E-08    0.43817E-05   -0.90418E-08    0.93538E-11
   100    0.26386E+04   -0.22560E+02    0.42828E-05   -0.22560E+02    0.73277E+00   -0.86727E-08    0.42828E-05   -0.86727E-08    0.91076E-11
   101    0.26693E+04   -0.23195E+02    0.41871E-05   -0.23195E+02    0.74664E+00   -0.82653E-08    0.41871E-05   -0.82653E-08    0.88699E-11
   102    0.27005E+04   -0.23830E+02    0.40944E-05   -0.23830E+02    0.76029E+00   -0.78296E-08    0.40944E-05   -0.78296E-08    0.86406E-11
   103    0.27316E+04   -0.24466E+02    0.40047E-05   -0.24466E+02    0.77379E+00   -0.73760E-08    0.40047E-05   -0.73760E-08    0.84190E-11
   104    0.27630E+04   -0.25099E+02    0.39177E-05   -0.25099E+02    0.78715E+00   -0.69145E-08    0.39177E-05   -0.69145E-08    0.82050E-11
   105    0.27944E+04   -0.25731E+02    0.38334E-05   -0.25731E+02    0.80029E+00   -0.64553E-08    0.38334E-05   -0.64553E-08    0.79982E-11
