#    L    TT             EE             BB             TE             PP             TP             EP          
   573    0.23658E+04    0.11425E+02    0.00000E+00    0.23568E+02    0.12394E-07    0.42844E-05   -0.29065E-06
   574    0.23588E+04    0.11647E+02    0.00000E+00    0.24289E+02    0.12358E-07    0.43148E-05   -0.30431E-06
   575    0.23516E+04    0.11871E+02    0.00000E+00    0.24983E+02    0.12322E-07    0.43459E-05   -0.31790E-06
   576    0.23443E+04    0.12099E+02    0.00000E+00    0.25651E+02    0.12287E-07    0.43778E-05   -0.33144E-06
   577    0.23368E+04    0.12331E+02    0.00000E+00    0.26293E+02    0.12252E-07    0.44103E-05   -0.34491E-06
   578    0.23292E+04    0.12566E+02    0.00000E+00    0.26906E+02    0.12216E-07    0.44435E-05   -0.35832E-06
   579    0.23216E+04    0.12806E+02    0.00000E+00    0.27492E+02    0.12181E-07    0.44774E-05   -0.37166E-06
   580    0.23138E+04    0.13048E+02    0.00000E+00    0.28048E+02    0.12146E-07    0.45120E-05   -0.38493E-06
   581    0.23058E+04    0.13294E+02    0.00000E+00    0.28578E+02    0.12112E-07    0.45472E-05   -0.39813E-06
   582    0.22977E+04    0.13543E+02    0.00000E+00    0.29077E+02    0.12077E-07    0.45830E-05   -0.41126E-06
   583    0.22896E+04    0.13796E+02    0.00000E+00    0.29547E+02    0.12043E-07    0.46195E-05   -0.42431E-06
   584    0.22814E+04    0.14051E+02    0.00000E+00    0.29988E+02    0.12008E-07    0.46566E-05   -0.43728E-06
   585    0.22731E+04    0.14309E+02    0.00000E+00    0.30399E+02    0.11974E-07    0.46943E-05   -0.45017E-06
   586    0.22647E+04    0.14570E+02    0.00000E+00    0.30779E+02    0.11940E-07    0.47325E-05   -0.46299E-06
   587    0.22563E+04    0.14834E+02    0.00000E+00    0.31129E+02    0.11906E-07    0.47714E-05   -0.47571E-06
   588    0.22477E+04    0.15100E+02    0.00000E+00    0.31448E+02    0.11872E-07    0.48108E-05   -0.48835E-06
   589    0.22390E+04    0.15370E+02    0.00000E+00    0.31736E+02    0.11839E-07    0.48508E-05   -0.50091E-06
   590    0.22302E+04    0.15641E+02    0.00000E+00    0.31993E+02    0.11805E-07    0.48914E-05   -0.51337E-06
   591    0.22215E+04    0.15916E+02    0.00000E+00    0.32219E+02    0.11772E-07    0.49325E-05   -0.52574E-06
   592    0.22126E+04    0.16191E+02    0.00000E+00    0.32412E+02    0.11738E-07    0.49741E-05   -0.53802E-06
   593    0.22037E+04    0.16471E+02    0.00000E+00    0.32574E+02    0.11705E-07    0.50162E-05   -0.55020E-06
   594    0.21946E+04    0.16752E+02    0.00000E+00    0.32704E+02    0.11672E-07    0.50588E-05   -0.56228E-06
   595    0.21855E+04    0.17034E+02    0.00000E+00    0.32802E+02    0.11640E-07    0.51019E-05   -0.57426E-06
   596    0.21765E+04    0.17319E+02    0.00000E+00    0.32867E+02    0.11607E-07    0.51455E-05   -0.58614E-06
   597    0.21674E+04    0.17604E+02    0.00000E+00    0.32900E+02    0.11574E-07    0.51895E-05   -0.59791E-06
   598    0.21585E+04    0.17892E+02    0.00000E+00    0.32901E+02    0.11542E-07    0.52340E-05   -0.60957E-06
   599    0.21493E+04    0.18181E+02    0.00000E+00    0.32870E+02    0.11510E-07    0.52790E-05   -0.62113E-06
   600    0.21402E+04    0.18473E+02    0.00000E+00    0.32805E+02    0.11477E-07    0.53244E-05   -0.63258E-06
   601    0.21310E+04    0.18765E+02    0.00000E+00    0.32708E+02    0.11445E-07    0.53702E-05   -0.64391E-06
   602    0.21217E+04    0.19058E+02    0.00000E+00    0.32578E+02    0.11413E-07    0.54164E-05   -0.65513E-06
   603    0.21124E+04    0.19353E+02    0.00000E+00    0.32416E+02    0.11382E-07    0.54630E-05   -0.66623E-06
   604    0.21033E+04    0.19648E+02    0.00000E+00    0.32221E+02    0.11350E-07    0.55100E-05   -0.67722E-06
   605    0.20941E+04    0.19945E+02    0.00000E+00    0.31994E+02    0.11318E-07    0.55573E-05   -0.68810E-06
   606    0.20849E+04    0.20241E+02    0.00000E+00    0.31733E+02    0.11287E-07    0.56051E-05   -0.69886E-06
   607    0.20755E+04    0.20539E+02    0.00000E+00    0.31440E+02    0.11256E-07    0.56532E-05   -0.70950E-06
   608    0.20663E+04    0.20838E+02    0.00000E+00    0.31114E+02    0.11225E-07    0.57016E-05   -0.72003E-06
   609    0.20572E+04    0.21136E+02    0.00000E+00    0.30755E+02    0.11194E-07    0.57503E-05   -0.73043E-06
   610    0.20480E+04    0.21434E+02    0.00000E+00    0.30363E+02    0.11163E-07    0.57994E-05   -0.74072E-06
   611    0.20389E+04    0.21733E+02    0.00000E+00    0.29940E+02    0.11132E-07    0.58487E-05   -0.75089E-06
   612    0.20298E+04    0.22033E+02    0.00000E+00    0.29484E+02    0.11101E-07    0.58984E-05   -0.76094E-06
   613    0.20206E+04    0.22330E+02    0.00000E+00    0.28996E+02    0.11071E-07    0.59483E-05   -0.77087E-06
   614    0.20116E+04    0.22629E+02    0.00000E+00    0.28474E+02    0.11040E-07    0.59985E-05   -0.78068E-06
   615    0.20026E+04    0.22926E+02    0.00000E+00    0.27922E+02    0.11010E-07    0.60490E-05   -0.79037E-06
   616    0.19937E+04    0.23225E+02    0.00000E+00    0.27338E+02    0.10980E-07    0.60996E-05   -0.79994E-06
   617    0.19849E+04    0.23522E+02    0.00000E+00    0.26722E+02    0.10950E-07    0.61506E-05   -0.80939E-06
   618    0.19760E+04    0.23819E+02    0.00000E+00    0.26074E+02    0.10920E-07    0.62017E-05   -0.81871E-06
   619    0.19672E+04    0.24117E+02    0.00000E+00    0.25396E+02    0.10890E-07    0.62531E-05   -0.82791E-06
   620    0.19586E+04    0.24411E+02    0.00000E+00    0.24687E+02    0.10861E-07    0.63046E-05   -0.83699E-06
   621    0.19499E+04    0.24706E+02    0.00000E+00    0.23947E+02    0.10831E-07    0.63563E-05   -0.84594E-06
   622    0.19414E+04    0.24999E+02    0.00000E+00    0.23176E+02    0.10802E-07    0.64082E-05   -0.85476E-06
   623    0.19330E+04    0.25290E+02    0.00000E+00    0.22377E+02    0.10772E-07    0.64603E-05   -0.86346E-06
   624    0.19245E+04    0.25580E+02    0.00000E+00    0.21547E+02    0.10743E-07    0.65125E-05   -0.87204E-06
   625    0.19162E+04    0.25869E+02    0.00000E+00    0.20686E+02    0.10714E-07    0.65649E-05   -0.88049E-06
   626    0.19080E+04    0.26156E+02    0.00000E+00    0.19797E+02    0.10685E-07    0.66173E-05   -0.88881E-06
   627    0.18999E+04    0.26441E+02    0.00000E+00    0.18879E+02    0.10656E-07    0.66699E-05   -0.89700E-06
   628    0.18919E+04    0.26725E+02    0.00000E+00    0.17932E+02    0.10627E-07    0.67226E-05   -0.90506E-06
   629    0.18841E+04    0.27006E+02    0.00000E+00    0.16957E+02    0.10599E-07    0.67754E-05   -0.91300E-06
   630    0.18762E+04    0.27285E+02    0.00000E+00    0.15953E+02    0.10570E-07    0.68282E-05   -0.92080E-06
   631    0.18685E+04    0.27562E+02    0.00000E+00    0.14923E+02    0.10542E-07    0.68811E-05   -0.92848E-06
   632    0.18609E+04    0.27836E+02    0.00000E+00    0.13864E+02    0.10514E-07    0.69341E-05   -0.93602E-06
   633    0.18534E+04    0.28109E+02    0.00000E+00    0.12780E+02    0.10485E-07    0.69871E-05   -0.94343E-06
   634    0.18461E+04    0.28378E+02    0.00000E+00    0.11669E+02    0.10457E-07    0.70401E-05   -0.95072E-06
   635    0.18390E+04    0.28646E+02    0.00000E+00    0.10533E+02    0.10429E-07    0.70932E-05   -0.95786E-06
   636    0.18318E+04    0.28911E+02    0.00000E+00    0.93715E+01    0.10402E-07    0.71463E-05   -0.96488E-06
   637    0.18248E+04    0.29172E+02    0.00000E+00    0.81842E+01    0.10374E-07    0.71993E-05   -0.97176E-06
   638    0.18180E+04    0.29431E+02    0.00000E+00    0.69734E+01    0.10346E-07    0.72523E-05   -0.97851E-06
   639    0.18113E+04    0.29686E+02    0.00000E+00    0.57379E+01    0.10319E-07    0.73053E-05   -0.98512E-06
   640    0.18048E+04    0.29940E+02    0.00000E+00    0.44794E+01    0.10291E-07    0.73583E-05   -0.99160E-06
   641    0.17984E+04    0.30189E+02    0.00000E+00    0.31978E+01    0.10264E-07    0.74112E-05   -0.99795E-06
   642    0.17921E+04    0.30435E+02    0.00000E+00    0.18939E+01    0.10237E-07    0.74641E-05   -0.10042E-05
   643    0.17860E+04    0.30678E+02    0.00000E+00    0.56797E+00    0.10210E-07    0.75168E-05   -0.10102E-05
   644    0.17801E+04    0.30916E+02    0.00000E+00   -0.77917E+00    0.10183E-07    0.75695E-05   -0.10162E-05
   645    0.17742E+04    0.31151E+02    0.00000E+00   -0.21473E+01    0.10156E-07    0.76221E-05   -0.10219E-05
   646    0.17685E+04    0.31382E+02    0.00000E+00   -0.35358E+01    0.10129E-07    0.76745E-05   -0.10276E-05
   647    0.17631E+04    0.31610E+02    0.00000E+00   -0.49446E+01    0.10102E-07    0.77269E-05   -0.10331E-05
   648    0.17577E+04    0.31833E+02    0.00000E+00   -0.63716E+01    0.10076E-07    0.77791E-05   -0.10385E-05
   649    0.17526E+04    0.32052E+02    0.00000E+00   -0.78178E+01    0.10049E-07    0.78311E-05   -0.10437E-05
   650    0.17476E+04    0.32267E+02    0.00000E+00   -0.92817E+01    0.10023E-07    0.78830E-05   -0.10488E-05
   651    0.17428E+04    0.32479E+02    0.00000E+00   -0.10763E+02    0.99968E-08    0.79347E-05   -0.10538E-05
   652    0.17381E+04    0.32686E+02    0.00000E+00   -0.12262E+02    0.99707E-08    0.79863E-05   -0.10586E-05
   653    0.17337E+04    0.32888E+02    0.00000E+00   -0.13776E+02    0.99446E-08    0.80376E-05   -0.10633E-05
   654    0.17293E+04    0.33086E+02    0.00000E+00   -0.15304E+02    0.99187E-08    0.80888E-05   -0.10678E-05
   655    0.17251E+04    0.33279E+02    0.00000E+00   -0.16849E+02    0.98928E-08    0.81398E-05   -0.10722E-05
   656    0.17212E+04    0.33468E+02    0.00000E+00   -0.18407E+02    0.98671E-08    0.81905E-05   -0.10764E-05
   657    0.17175E+04    0.33652E+02    0.00000E+00   -0.19978E+02    0.98414E-08    0.82411E-05   -0.10805E-05
   658    0.17138E+04    0.33832E+02    0.00000E+00   -0.21562E+02    0.98159E-08    0.82914E-05   -0.10845E-05
   659    0.17104E+04    0.34007E+02    0.00000E+00   -0.23159E+02    0.97904E-08    0.83415E-05   -0.10884E-05
   660    0.17072E+04    0.34176E+02    0.00000E+00   -0.24766E+02    0.97651E-08    0.83914E-05   -0.10920E-05
   661    0.17042E+04    0.34340E+02    0.00000E+00   -0.26384E+02    0.97398E-08    0.84411E-05   -0.10956E-05
   662    0.17014E+04    0.34500E+02    0.00000E+00   -0.28012E+02    0.97146E-08    0.84905E-05   -0.10990E-05
   663    0.16987E+04    0.34655E+02    0.00000E+00   -0.29650E+02    0.96896E-08    0.85396E-05   -0.11023E-05
   664    0.16962E+04    0.34803E+02    0.00000E+00   -0.31296E+02    0.96646E-08    0.85886E-05   -0.11055E-05
   665    0.16939E+04    0.34947E+02    0.00000E+00   -0.32951E+02    0.96397E-08    0.86372E-05   -0.11085E-05
   666    0.16918E+04    0.35086E+02    0.00000E+00   -0.34612E+02    0.96149E-08    0.86856E-05   -0.11113E-05
   667    0.16899E+04    0.35218E+02    0.00000E+00   -0.36280E+02    0.95903E-08    0.87337E-05   -0.11141E-05
   668    0.16880E+04    0.35346E+02    0.00000E+00   -0.37954E+02    0.95657E-08    0.87815E-05   -0.11167E-05
   669    0.16866E+04    0.35469E+02    0.00000E+00   -0.39633E+02    0.95412E-08    0.88291E-05   -0.11192E-05
   670    0.16852E+04    0.35585E+02    0.00000E+00   -0.41315E+02    0.95168E-08    0.88763E-05   -0.11215E-05
   671    0.16841E+04    0.35698E+02    0.00000E+00   -0.43002E+02    0.94925E-08    0.89233E-05   -0.11237E-05
   672    0.16831E+04    0.35803E+02    0.00000E+00   -0.44693E+02    0.94683E-08    0.89700E-05   -0.11258E-05
   673    0.16824E+04    0.35904E+02    0.00000E+00   -0.46384E+02    0.94441E-08    0.90163E-05   -0.11277E-05
   674    0.16818E+04    0.35998E+02    0.00000E+00   -0.48078E+02    0.94201E-08    0.90624E-05   -0.11295E-05
   675    0.16814E+04    0.36087E+02    0.00000E+00   -0.49772E+02    0.93961E-08    0.91081E-05   -0.11312E-05
   676    0.16812E+04    0.36170E+02    0.00000E+00   -0.51466E+02    0.93723E-08    0.91535E-05   -0.11327E-05
   677    0.16812E+04    0.36247E+02    0.00000E+00   -0.53159E+02    0.93485E-08    0.91985E-05   -0.11341E-05
   678    0.16814E+04    0.36318E+02    0.00000E+00   -0.54851E+02    0.93249E-08    0.92432E-05   -0.11354E-05
   679    0.16818E+04    0.36384E+02    0.00000E+00   -0.56541E+02    0.93013E-08    0.92876E-05   -0.11365E-05
   680    0.16825E+04    0.36444E+02    0.00000E+00   -0.58228E+02    0.92778E-08    0.93316E-05   -0.11375E-05
   681    0.16833E+04    0.36498E+02    0.00000E+00   -0.59911E+02    0.92544E-08    0.93753E-05   -0.11384E-05
   682    0.16842E+04    0.36545E+02    0.00000E+00   -0.61591E+02    0.92311E-08    0.94185E-05   -0.11391E-05
   683    0.16855E+04    0.36588E+02    0.00000E+00   -0.63266E+02    0.92078E-08    0.94615E-05   -0.11398E-05
   684    0.16868E+04    0.36623E+02    0.00000E+00   -0.64936E+02    0.91847E-08    0.95040E-05   -0.11402E-05
   685    0.16883E+04    0.36653E+02    0.00000E+00   -0.66600E+02    0.91616E-08    0.95462E-05   -0.11406E-05
   686    0.16900E+04    0.36677E+02    0.00000E+00   -0.68248E+02    0.91386E-08    0.95879E-05   -0.11408E-05
   687    0.16920E+04    0.36695E+02    0.00000E+00   -0.69893E+02    0.91158E-08    0.96293E-05   -0.11409E-05
   688    0.16940E+04    0.36707E+02    0.00000E+00   -0.71532E+02    0.90930E-08    0.96703E-05   -0.11409E-05
   689    0.16963E+04    0.36712E+02    0.00000E+00   -0.73158E+02    0.90702E-08    0.97108E-05   -0.11408E-05
   690    0.16987E+04    0.36713E+02    0.00000E+00   -0.74778E+02    0.90476E-08    0.97510E-05   -0.11405E-05
   691    0.17014E+04    0.36705E+02    0.00000E+00   -0.76384E+02    0.90251E-08    0.97907E-05   -0.11401E-05
   692    0.17042E+04    0.36694E+02    0.00000E+00   -0.77978E+02    0.90026E-08    0.98300E-05   -0.11395E-05
   693    0.17072E+04    0.36676E+02    0.00000E+00   -0.79565E+02    0.89802E-08    0.98688E-05   -0.11389E-05
   694    0.17103E+04    0.36651E+02    0.00000E+00   -0.81132E+02    0.89579E-08    0.99073E-05   -0.11381E-05
   695    0.17137E+04    0.36622E+02    0.00000E+00   -0.82685E+02    0.89357E-08    0.99452E-05   -0.11372E-05
   696    0.17173E+04    0.36586E+02    0.00000E+00   -0.84240E+02    0.89135E-08    0.99828E-05   -0.11361E-05
   697    0.17210E+04    0.36545E+02    0.00000E+00   -0.85767E+02    0.88915E-08    0.10020E-04   -0.11350E-05
   698    0.17248E+04    0.36496E+02    0.00000E+00   -0.87281E+02    0.88695E-08    0.10056E-04   -0.11337E-05
   699    0.17288E+04    0.36443E+02    0.00000E+00   -0.88775E+02    0.88476E-08    0.10093E-04   -0.11323E-05
   700    0.17331E+04    0.36383E+02    0.00000E+00   -0.90255E+02    0.88258E-08    0.10128E-04   -0.11307E-05
   701    0.17374E+04    0.36318E+02    0.00000E+00   -0.91722E+02    0.88041E-08    0.10163E-04   -0.11291E-05
   702    0.17420E+04    0.36247E+02    0.00000E+00   -0.93161E+02    0.87824E-08    0.10198E-04   -0.11273E-05
   703    0.17466E+04    0.36170E+02    0.00000E+00   -0.94602E+02    0.87608E-08    0.10232E-04   -0.11254E-05
   704    0.17515E+04    0.36088E+02    0.00000E+00   -0.96008E+02    0.87393E-08    0.10266E-04   -0.11234E-05
   705    0.17564E+04    0.35999E+02    0.00000E+00   -0.97393E+02    0.87179E-08    0.10299E-04   -0.11212E-05
   706    0.17615E+04    0.35905E+02    0.00000E+00   -0.98765E+02    0.86965E-08    0.10332E-04   -0.11190E-05
   707    0.17667E+04    0.35806E+02    0.00000E+00   -0.10012E+03    0.86753E-08    0.10364E-04   -0.11166E-05
   708    0.17722E+04    0.35701E+02    0.00000E+00   -0.10143E+03    0.86541E-08    0.10396E-04   -0.11141E-05
   709    0.17777E+04    0.35591E+02    0.00000E+00   -0.10274E+03    0.86329E-08    0.10427E-04   -0.11115E-05
   710    0.17834E+04    0.35475E+02    0.00000E+00   -0.10403E+03    0.86119E-08    0.10457E-04   -0.11088E-05
   711    0.17892E+04    0.35354E+02    0.00000E+00   -0.10528E+03    0.85909E-08    0.10487E-04   -0.11059E-05
   712    0.17952E+04    0.35227E+02    0.00000E+00   -0.10652E+03    0.85700E-08    0.10517E-04   -0.11029E-05
   713    0.18014E+04    0.35095E+02    0.00000E+00   -0.10773E+03    0.85492E-08    0.10546E-04   -0.10999E-05
   714    0.18075E+04    0.34959E+02    0.00000E+00   -0.10891E+03    0.85285E-08    0.10574E-04   -0.10967E-05
   715    0.18139E+04    0.34816E+02    0.00000E+00   -0.11008E+03    0.85078E-08    0.10602E-04   -0.10934E-05
   716    0.18204E+04    0.34669E+02    0.00000E+00   -0.11121E+03    0.84872E-08    0.10629E-04   -0.10900E-05
   717    0.18269E+04    0.34517E+02    0.00000E+00   -0.11232E+03    0.84667E-08    0.10656E-04   -0.10864E-05
   718    0.18336E+04    0.34360E+02    0.00000E+00   -0.11340E+03    0.84462E-08    0.10682E-04   -0.10828E-05
   719    0.18404E+04    0.34197E+02    0.00000E+00   -0.11445E+03    0.84259E-08    0.10708E-04   -0.10791E-05
   720    0.18472E+04    0.34029E+02    0.00000E+00   -0.11548E+03    0.84056E-08    0.10733E-04   -0.10752E-05
   721    0.18543E+04    0.33859E+02    0.00000E+00   -0.11647E+03    0.83853E-08    0.10757E-04   -0.10712E-05
   722    0.18614E+04    0.33682E+02    0.00000E+00   -0.11743E+03    0.83652E-08    0.10781E-04   -0.10672E-05
   723    0.18686E+04    0.33501E+02    0.00000E+00   -0.11837E+03    0.83451E-08    0.10804E-04   -0.10630E-05
   724    0.18759E+04    0.33316E+02    0.00000E+00   -0.11928E+03    0.83251E-08    0.10827E-04   -0.10587E-05
   725    0.18832E+04    0.33127E+02    0.00000E+00   -0.12016E+03    0.83051E-08    0.10849E-04   -0.10543E-05
   726    0.18907E+04    0.32935E+02    0.00000E+00   -0.12100E+03    0.82852E-08    0.10870E-04   -0.10498E-05
   727    0.18983E+04    0.32737E+02    0.00000E+00   -0.12182E+03    0.82654E-08    0.10891E-04   -0.10452E-05
   728    0.19059E+04    0.32533E+02    0.00000E+00   -0.12261E+03    0.82457E-08    0.10911E-04   -0.10405E-05
   729    0.19136E+04    0.32327E+02    0.00000E+00   -0.12337E+03    0.82260E-08    0.10930E-04   -0.10357E-05
   730    0.19213E+04    0.32117E+02    0.00000E+00   -0.12409E+03    0.82064E-08    0.10949E-04   -0.10308E-05
   731    0.19292E+04    0.31902E+02    0.00000E+00   -0.12477E+03    0.81869E-08    0.10967E-04   -0.10258E-05
   732    0.19370E+04    0.31686E+02    0.00000E+00   -0.12542E+03    0.81674E-08    0.10985E-04   -0.10207E-05
   733    0.19450E+04    0.31464E+02    0.00000E+00   -0.12605E+03    0.81480E-08    0.11002E-04   -0.10156E-05
   734    0.19531E+04    0.31239E+02    0.00000E+00   -0.12663E+03    0.81287E-08    0.11018E-04   -0.10103E-05
   735    0.19612E+04    0.31010E+02    0.00000E+00   -0.12720E+03    0.81094E-08    0.11034E-04   -0.10049E-05
   736    0.19692E+04    0.30777E+02    0.00000E+00   -0.12771E+03    0.80902E-08    0.11048E-04   -0.99937E-06
   737    0.19774E+04    0.30543E+02    0.00000E+00   -0.12821E+03    0.80711E-08    0.11063E-04   -0.99379E-06
   738    0.19855E+04    0.30305E+02    0.00000E+00   -0.12865E+03    0.80520E-08    0.11076E-04   -0.98811E-06
   739    0.19937E+04    0.30064E+02    0.00000E+00   -0.12907E+03    0.80330E-08    0.11089E-04   -0.98233E-06
   740    0.20019E+04    0.29820E+02    0.00000E+00   -0.12946E+03    0.80141E-08    0.11101E-04   -0.97647E-06
   741    0.20102E+04    0.29572E+02    0.00000E+00   -0.12981E+03    0.79952E-08    0.11113E-04   -0.97051E-06
   742    0.20185E+04    0.29324E+02    0.00000E+00   -0.13012E+03    0.79764E-08    0.11124E-04   -0.96445E-06
   743    0.20269E+04    0.29073E+02    0.00000E+00   -0.13040E+03    0.79577E-08    0.11134E-04   -0.95831E-06
   744    0.20353E+04    0.28819E+02    0.00000E+00   -0.13064E+03    0.79390E-08    0.11143E-04   -0.95208E-06
   745    0.20436E+04    0.28562E+02    0.00000E+00   -0.13086E+03    0.79204E-08    0.11152E-04   -0.94575E-06
   746    0.20519E+04    0.28304E+02    0.00000E+00   -0.13102E+03    0.79018E-08    0.11160E-04   -0.93934E-06
   747    0.20602E+04    0.28043E+02    0.00000E+00   -0.13116E+03    0.78833E-08    0.11167E-04   -0.93284E-06
   748    0.20685E+04    0.27781E+02    0.00000E+00   -0.13126E+03    0.78649E-08    0.11173E-04   -0.92625E-06
   749    0.20769E+04    0.27515E+02    0.00000E+00   -0.13134E+03    0.78465E-08    0.11179E-04   -0.91958E-06
   750    0.20852E+04    0.27249E+02    0.00000E+00   -0.13137E+03    0.78282E-08    0.11184E-04   -0.91282E-06
   751    0.20935E+04    0.26981E+02    0.00000E+00   -0.13137E+03    0.78100E-08    0.11188E-04   -0.90598E-06
   752    0.21019E+04    0.26713E+02    0.00000E+00   -0.13132E+03    0.77918E-08    0.11192E-04   -0.89905E-06
   753    0.21101E+04    0.26441E+02    0.00000E+00   -0.13124E+03    0.77737E-08    0.11194E-04   -0.89204E-06
   754    0.21183E+04    0.26169E+02    0.00000E+00   -0.13113E+03    0.77556E-08    0.11196E-04   -0.88495E-06
   755    0.21266E+04    0.25896E+02    0.00000E+00   -0.13098E+03    0.77376E-08    0.11198E-04   -0.87778E-06
   756    0.21347E+04    0.25622E+02    0.00000E+00   -0.13080E+03    0.77197E-08    0.11198E-04   -0.87054E-06
   757    0.21430E+04    0.25348E+02    0.00000E+00   -0.13057E+03    0.77018E-08    0.11198E-04   -0.86322E-06
   758    0.21510E+04    0.25072E+02    0.00000E+00   -0.13031E+03    0.76840E-08    0.11197E-04   -0.85582E-06
   759    0.21591E+04    0.24795E+02    0.00000E+00   -0.13002E+03    0.76662E-08    0.11196E-04   -0.84835E-06
   760    0.21671E+04    0.24518E+02    0.00000E+00   -0.12970E+03    0.76485E-08    0.11193E-04   -0.84082E-06
   761    0.21750E+04    0.24241E+02    0.00000E+00   -0.12933E+03    0.76309E-08    0.11190E-04   -0.83321E-06
   762    0.21830E+04    0.23964E+02    0.00000E+00   -0.12893E+03    0.76133E-08    0.11187E-04   -0.82553E-06
   763    0.21908E+04    0.23687E+02    0.00000E+00   -0.12850E+03    0.75957E-08    0.11183E-04   -0.81779E-06
   764    0.21985E+04    0.23409E+02    0.00000E+00   -0.12804E+03    0.75783E-08    0.11178E-04   -0.80999E-06
   765    0.22062E+04    0.23131E+02    0.00000E+00   -0.12753E+03    0.75608E-08    0.11172E-04   -0.80212E-06
   766    0.22139E+04    0.22855E+02    0.00000E+00   -0.12700E+03    0.75435E-08    0.11166E-04   -0.79419E-06
   767    0.22214E+04    0.22579E+02    0.00000E+00   -0.12642E+03    0.75262E-08    0.11159E-04   -0.78620E-06
   768    0.22289E+04    0.22303E+02    0.00000E+00   -0.12581E+03    0.75089E-08    0.11151E-04   -0.77815E-06
   769    0.22363E+04    0.22027E+02    0.00000E+00   -0.12517E+03    0.74918E-08    0.11143E-04   -0.77005E-06
   770    0.22435E+04    0.21752E+02    0.00000E+00   -0.12450E+03    0.74746E-08    0.11134E-04   -0.76189E-06
   771    0.22507E+04    0.21479E+02    0.00000E+00   -0.12379E+03    0.74575E-08    0.11125E-04   -0.75367E-06
   772    0.22578E+04    0.21206E+02    0.00000E+00   -0.12304E+03    0.74405E-08    0.11115E-04   -0.74541E-06
   773    0.22648E+04    0.20935E+02    0.00000E+00   -0.12226E+03    0.74236E-08    0.11104E-04   -0.73709E-06
   774    0.22716E+04    0.20665E+02    0.00000E+00   -0.12146E+03    0.74066E-08    0.11093E-04   -0.72873E-06
   775    0.22785E+04    0.20396E+02    0.00000E+00   -0.12062E+03    0.73898E-08    0.11081E-04   -0.72031E-06
   776    0.22851E+04    0.20130E+02    0.00000E+00   -0.11975E+03    0.73730E-08    0.11068E-04   -0.71186E-06
   777    0.22916E+04    0.19864E+02    0.00000E+00   -0.11884E+03    0.73562E-08    0.11055E-04   -0.70335E-06
   778    0.22982E+04    0.19601E+02    0.00000E+00   -0.11790E+03    0.73395E-08    0.11042E-04   -0.69481E-06
   779    0.23044E+04    0.19340E+02    0.00000E+00   -0.11693E+03    0.73229E-08    0.11028E-04   -0.68622E-06
   780    0.23106E+04    0.19079E+02    0.00000E+00   -0.11593E+03    0.73063E-08    0.11013E-04   -0.67760E-06
   781    0.23167E+04    0.18822E+02    0.00000E+00   -0.11491E+03    0.72898E-08    0.10997E-04   -0.66894E-06
   782    0.23226E+04    0.18567E+02    0.00000E+00   -0.11386E+03    0.72733E-08    0.10982E-04   -0.66024E-06
   783    0.23285E+04    0.18314E+02    0.00000E+00   -0.11277E+03    0.72569E-08    0.10965E-04   -0.65150E-06
   784    0.23342E+04    0.18064E+02    0.00000E+00   -0.11165E+03    0.72405E-08    0.10948E-04   -0.64274E-06
   785    0.23396E+04    0.17816E+02    0.00000E+00   -0.11051E+03    0.72242E-08    0.10931E-04   -0.63394E-06
   786    0.23451E+04    0.17571E+02    0.00000E+00   -0.10931E+03    0.72079E-08    0.10913E-04   -0.62511E-06
   787    0.23503E+04    0.17329E+02    0.00000E+00   -0.10811E+03    0.71917E-08    0.10894E-04   -0.61625E-06
   788    0.23553E+04    0.17090E+02    0.00000E+00   -0.10688E+03    0.71755E-08    0.10875E-04   -0.60737E-06
   789    0.23603E+04    0.16852E+02    0.00000E+00   -0.10562E+03    0.71594E-08    0.10855E-04   -0.59846E-06
   790    0.23651E+04    0.16620E+02    0.00000E+00   -0.10433E+03    0.71433E-08    0.10835E-04   -0.58952E-06
   791    0.23698E+04    0.16389E+02    0.00000E+00   -0.10301E+03    0.71273E-08    0.10815E-04   -0.58057E-06
   792    0.23743E+04    0.16163E+02    0.00000E+00   -0.10168E+03    0.71113E-08    0.10794E-04   -0.57159E-06
   793    0.23786E+04    0.15941E+02    0.00000E+00   -0.10031E+03    0.70954E-08    0.10772E-04   -0.56260E-06
   794    0.23827E+04    0.15723E+02    0.00000E+00   -0.98920E+02    0.70796E-08    0.10750E-04   -0.55359E-06
   795    0.23867E+04    0.15507E+02    0.00000E+00   -0.97503E+02    0.70637E-08    0.10728E-04   -0.54456E-06
   796    0.23906E+04    0.15296E+02    0.00000E+00   -0.96071E+02    0.70480E-08    0.10705E-04   -0.53552E-06
   797    0.23942E+04    0.15088E+02    0.00000E+00   -0.94609E+02    0.70322E-08    0.10681E-04   -0.52646E-06
   798    0.23977E+04    0.14885E+02    0.00000E+00   -0.93132E+02    0.70166E-08    0.10657E-04   -0.51739E-06
   799    0.24010E+04    0.14686E+02    0.00000E+00   -0.91632E+02    0.70009E-08    0.10633E-04   -0.50832E-06
   800    0.24042E+04    0.14490E+02    0.00000E+00   -0.90110E+02    0.69854E-08    0.10608E-04   -0.49923E-06
   801    0.24072E+04    0.14299E+02    0.00000E+00   -0.88572E+02    0.69698E-08    0.10583E-04   -0.49014E-06
   802    0.24099E+04    0.14112E+02    0.00000E+00   -0.86997E+02    0.69544E-08    0.10557E-04   -0.48105E-06
