#    L    TT             EE             BB             TE             PP             TP             EP          
    55    0.14815E+04    0.15284E+00    0.00000E+00   -0.64584E+00    0.12128E-06    0.86744E-03   -0.52393E-06
    56    0.15022E+04    0.16179E+00    0.00000E+00   -0.89571E+00    0.12069E-06    0.85068E-03   -0.50402E-06
    57    0.15233E+04    0.17088E+00    0.00000E+00   -0.11578E+01    0.12008E-06    0.83522E-03   -0.47805E-06
    58    0.15446E+04    0.18012E+00    0.00000E+00   -0.14327E+01    0.11947E-06    0.82078E-03   -0.44761E-06
    59    0.15661E+04    0.18955E+00    0.00000E+00   -0.17211E+01    0.11885E-06    0.80703E-03   -0.41428E-06
    60    0.15877E+04    0.19923E+00    0.00000E+00   -0.20220E+01    0.11822E-06    0.79368E-03   -0.37964E-06
    61    0.16098E+04    0.20925E+00    0.00000E+00   -0.23345E+01    0.11758E-06    0.78048E-03   -0.34534E-06
    62    0.16318E+04    0.21960E+00    0.00000E+00   -0.26597E+01    0.11694E-06    0.76734E-03   -0.31338E-06
    63    0.16539E+04    0.23024E+00    0.00000E+00   -0.29985E+01    0.11629E-06    0.75424E-03   -0.28585E-06
    64    0.16764E+04    0.24116E+00    0.00000E+00   -0.33523E+01    0.11564E-06    0.74114E-03   -0.26481E-06
    65    0.16990E+04    0.25236E+00    0.00000E+00   -0.37218E+01    0.11498E-06    0.72803E-03   -0.25235E-06
    66    0.17218E+04    0.26376E+00    0.00000E+00   -0.41053E+01    0.11432E-06    0.71490E-03   -0.25038E-06
    67    0.17449E+04    0.27535E+00    0.00000E+00   -0.44998E+01    0.11366E-06    0.70188E-03   -0.26025E-06
    68    0.17683E+04    0.28719E+00    0.00000E+00   -0.49035E+01    0.11300E-06    0.68914E-03   -0.28314E-06
    69    0.17920E+04    0.29923E+00    0.00000E+00   -0.53146E+01    0.11233E-06    0.67684E-03   -0.32024E-06
    70    0.18159E+04    0.31151E+00    0.00000E+00   -0.57347E+01    0.11166E-06    0.66515E-03   -0.37275E-06
    71    0.18400E+04    0.32403E+00    0.00000E+00   -0.61660E+01    0.11099E-06    0.65418E-03   -0.43978E-06
    72    0.18643E+04    0.33675E+00    0.00000E+00   -0.66100E+01    0.11033E-06    0.64385E-03   -0.51214E-06
    73    0.18887E+04    0.34964E+00    0.00000E+00   -0.70673E+01    0.10966E-06    0.63403E-03   -0.57859E-06
    74    0.19133E+04    0.36270E+00    0.00000E+00   -0.75372E+01    0.10899E-06    0.62460E-03   -0.62789E-06
    75    0.19382E+04    0.37593E+00    0.00000E+00   -0.80182E+01    0.10832E-06    0.61541E-03   -0.64882E-06
    76    0.19634E+04    0.38933E+00    0.00000E+00   -0.85099E+01    0.10765E-06    0.60638E-03   -0.63414E-06
    77    0.19890E+04    0.40289E+00    0.00000E+00   -0.90121E+01    0.10698E-06    0.59745E-03   -0.59252E-06
    78    0.20149E+04    0.41664E+00    0.00000E+00   -0.95260E+01    0.10630E-06    0.58861E-03   -0.53656E-06
    79    0.20409E+04    0.43053E+00    0.00000E+00   -0.10048E+02    0.10563E-06    0.57984E-03   -0.47887E-06
    80    0.20673E+04    0.44455E+00    0.00000E+00   -0.10580E+02    0.10496E-06    0.57112E-03   -0.43206E-06
    81    0.20938E+04    0.45867E+00    0.00000E+00   -0.11121E+02    0.10430E-06    0.56245E-03   -0.40624E-06
    82    0.21206E+04    0.47289E+00    0.00000E+00   -0.11671E+02    0.10363E-06    0.55385E-03   -0.40172E-06
    83    0.21476E+04    0.48720E+00    0.00000E+00   -0.12230E+02    0.10297E-06    0.54539E-03   -0.41634E-06
    84    0.21748E+04    0.50158E+00    0.00000E+00   -0.12795E+02    0.10230E-06    0.53709E-03   -0.44795E-06
