#    L    TT             EE             BB             TE          
    91    0.11489E+05    0.60539E+00    0.20982E-02   -0.16917E+02
    92    0.11395E+05    0.62004E+00    0.21450E-02   -0.17529E+02
    93    0.11312E+05    0.63467E+00    0.21924E-02   -0.18146E+02
    94    0.11238E+05    0.64923E+00    0.22403E-02   -0.18766E+02
    95    0.11174E+05    0.66373E+00    0.22888E-02   -0.19389E+02
    96    0.11119E+05    0.67815E+00    0.23379E-02   -0.20016E+02
    97    0.11073E+05    0.69248E+00    0.23876E-02   -0.20646E+02
    98    0.11037E+05    0.70672E+00    0.24379E-02   -0.21276E+02
    99    0.11009E+05    0.72082E+00    0.24887E-02   -0.21909E+02
   100    0.10990E+05    0.73480E+00    0.25401E-02   -0.22541E+02
   101    0.10979E+05    0.74869E+00    0.25921E-02   -0.23175E+02
   102    0.10977E+05    0.76237E+00    0.26447E-02   -0.23809E+02
   103    0.10982E+05    0.77591E+00    0.26979E-02   -0.24444E+02
   104    0.10996E+05    0.78930E+00    0.27517E-02   -0.25076E+02
   105    0.11016E+05    0.80247E+00    0.28061E-02   -0.25707E+02
   106    0.11045E+05    0.81550E+00    0.28610E-02   -0.26337E+02
   107    0.11080E+05    0.82824E+00    0.29166E-02   -0.26963E+02
   108    0.11122E+05    0.84077E+00    0.29728E-02   -0.27587E+02
   109    0.11171E+05    0.85300E+00    0.30296E-02   -0.28208E+02
   110    0.11227E+05    0.86495E+00    0.30870E-02   -0.28823E+02
   111    0.11288E+05    0.87668E+00    0.31450E-02   -0.29435E+02
   112    0.11355E+05    0.88813E+00    0.32036E-02   -0.30042E+02
   113    0.11427E+05    0.89929E+00    0.32628E-02   -0.30643E+02
   114    0.11503E+05    0.91009E+00    0.33227E-02   -0.31238E+02
   115    0.11583E+05    0.92068E+00    0.33831E-02   -0.31826E+02
   116    0.11665E+05    0.93084E+00    0.34442E-02   -0.32406E+02
   117    0.11749E+05    0.94063E+00    0.35060E-02   -0.32978E+02
   118    0.11834E+05    0.95022E+00    0.35683E-02   -0.33543E+02
   119    0.11919E+05    0.95944E+00    0.36313E-02   -0.34098E+02
   120    0.12004E+05    0.96816E+00    0.36949E-02   -0.34643E+02
   121    0.12088E+05    0.97668E+00    0.37592E-02   -0.35179E+02
   122    0.12171E+05    0.98468E+00    0.38241E-02   -0.35704E+02
   123    0.12250E+05    0.99225E+00    0.38897E-02   -0.36218E+02
   124    0.12327E+05    0.99947E+00    0.39559E-02   -0.36719E+02
   125    0.12399E+05    0.10063E+01    0.40228E-02   -0.37208E+02
   126    0.12467E+05    0.10127E+01    0.40903E-02   -0.37686E+02
   127    0.12529E+05    0.10186E+01    0.41585E-02   -0.38150E+02
   128    0.12585E+05    0.10242E+01    0.42274E-02   -0.38602E+02
   129    0.12635E+05    0.10293E+01    0.42970E-02   -0.39038E+02
   130    0.12677E+05    0.10338E+01    0.43672E-02   -0.39460E+02
   131    0.12710E+05    0.10380E+01    0.44382E-02   -0.39868E+02
   132    0.12737E+05    0.10418E+01    0.45098E-02   -0.40259E+02
   133    0.12757E+05    0.10450E+01    0.45822E-02   -0.40636E+02
   134    0.12772E+05    0.10479E+01    0.46553E-02   -0.40995E+02
   135    0.12781E+05    0.10503E+01    0.47291E-02   -0.41338E+02
   136    0.12788E+05    0.10521E+01    0.48036E-02   -0.41661E+02
   137    0.12791E+05    0.10535E+01    0.48788E-02   -0.41967E+02
   138    0.12793E+05    0.10545E+01    0.49548E-02   -0.42255E+02
   139    0.12793E+05    0.10551E+01    0.50316E-02   -0.42523E+02
   140    0.12794E+05    0.10551E+01    0.51090E-02   -0.42773E+02
   141    0.12795E+05    0.10546E+01    0.51873E-02   -0.43002E+02
   142    0.12798E+05    0.10537E+01    0.52663E-02   -0.43212E+02
   143    0.12805E+05    0.10523E+01    0.53461E-02   -0.43401E+02
   144    0.12814E+05    0.10505E+01    0.54267E-02   -0.43570E+02
   145    0.12829E+05    0.10483E+01    0.55081E-02   -0.43718E+02
   146    0.12849E+05    0.10456E+01    0.55902E-02   -0.43844E+02
   147    0.12875E+05    0.10425E+01    0.56732E-02   -0.43948E+02
   148    0.12909E+05    0.10389E+01    0.57570E-02   -0.44030E+02
   149    0.12951E+05    0.10349E+01    0.58415E-02   -0.44090E+02
   150    0.13003E+05    0.10305E+01    0.59270E-02   -0.44126E+02
   151    0.13064E+05    0.10257E+01    0.60132E-02   -0.44139E+02
   152    0.13135E+05    0.10205E+01    0.61002E-02   -0.44129E+02
   153    0.13214E+05    0.10148E+01    0.61881E-02   -0.44094E+02
   154    0.13302E+05    0.10089E+01    0.62769E-02   -0.44035E+02
   155    0.13398E+05    0.10026E+01    0.63664E-02   -0.43952E+02
   156    0.13501E+05    0.99592E+00    0.64569E-02   -0.43846E+02
   157    0.13610E+05    0.98892E+00    0.65481E-02   -0.43714E+02
   158    0.13724E+05    0.98164E+00    0.66403E-02   -0.43557E+02
   159    0.13844E+05    0.97394E+00    0.67332E-02   -0.43375E+02
   160    0.13968E+05    0.96597E+00    0.68271E-02   -0.43167E+02
   161    0.14096E+05    0.95781E+00    0.69217E-02   -0.42934E+02
   162    0.14227E+05    0.94929E+00    0.70173E-02   -0.42677E+02
   163    0.14361E+05    0.94050E+00    0.71137E-02   -0.42393E+02
   164    0.14496E+05    0.93151E+00    0.72109E-02   -0.42084E+02
   165    0.14633E+05    0.92225E+00    0.73091E-02   -0.41749E+02
   166    0.14770E+05    0.91286E+00    0.74080E-02   -0.41388E+02
   167    0.14906E+05    0.90312E+00    0.75078E-02   -0.41002E+02
   168    0.15042E+05    0.89340E+00    0.76085E-02   -0.40589E+02
   169    0.15177E+05    0.88341E+00    0.77100E-02   -0.40149E+02
   170    0.15309E+05    0.87337E+00    0.78124E-02   -0.39683E+02
   171    0.15438E+05    0.86327E+00    0.79156E-02   -0.39190E+02
   172    0.15563E+05    0.85305E+00    0.80196E-02   -0.38670E+02
   173    0.15685E+05    0.84269E+00    0.81245E-02   -0.38125E+02
   174    0.15801E+05    0.83251E+00    0.82302E-02   -0.37552E+02
   175    0.15912E+05    0.82220E+00    0.83367E-02   -0.36953E+02
   176    0.16016E+05    0.81198E+00    0.84440E-02   -0.36327E+02
   177    0.16114E+05    0.80178E+00    0.85522E-02   -0.35675E+02
   178    0.16207E+05    0.79183E+00    0.86611E-02   -0.34997E+02
   179    0.16294E+05    0.78181E+00    0.87709E-02   -0.34291E+02
   180    0.16376E+05    0.77196E+00    0.88814E-02   -0.33560E+02
   181    0.16453E+05    0.76228E+00    0.89927E-02   -0.32803E+02
   182    0.16525E+05    0.75283E+00    0.91048E-02   -0.32019E+02
   183    0.16593E+05    0.74355E+00    0.92177E-02   -0.31210E+02
   184    0.16656E+05    0.73450E+00    0.93313E-02   -0.30374E+02
   185    0.16716E+05    0.72584E+00    0.94457E-02   -0.29515E+02
   186    0.16772E+05    0.71742E+00    0.95608E-02   -0.28629E+02
   187    0.16824E+05    0.70938E+00    0.96767E-02   -0.27717E+02
   188    0.16874E+05    0.70171E+00    0.97933E-02   -0.26781E+02
   189    0.16921E+05    0.69444E+00    0.99106E-02   -0.25820E+02
   190    0.16965E+05    0.68762E+00    0.10029E-01   -0.24835E+02
   191    0.17007E+05    0.68129E+00    0.10147E-01   -0.23824E+02
   192    0.17048E+05    0.67544E+00    0.10267E-01   -0.22790E+02
   193    0.17086E+05    0.67014E+00    0.10387E-01   -0.21733E+02
   194    0.17123E+05    0.66541E+00    0.10508E-01   -0.20651E+02
   195    0.17159E+05    0.66128E+00    0.10629E-01   -0.19547E+02
   196    0.17195E+05    0.65780E+00    0.10751E-01   -0.18420E+02
   197    0.17230E+05    0.65500E+00    0.10874E-01   -0.17271E+02
   198    0.17264E+05    0.65290E+00    0.10998E-01   -0.16100E+02
   199    0.17299E+05    0.65155E+00    0.11122E-01   -0.14907E+02
   200    0.17335E+05    0.65098E+00    0.11246E-01   -0.13693E+02
   201    0.17371E+05    0.65123E+00    0.11372E-01   -0.12457E+02
   202    0.17408E+05    0.65232E+00    0.11498E-01   -0.11202E+02
   203    0.17445E+05    0.65430E+00    0.11624E-01   -0.99251E+01
   204    0.17483E+05    0.65720E+00    0.11751E-01   -0.86306E+01
   205    0.17522E+05    0.66106E+00    0.11879E-01   -0.73159E+01
   206    0.17560E+05    0.66591E+00    0.12007E-01   -0.59822E+01
   207    0.17600E+05    0.67179E+00    0.12136E-01   -0.46301E+01
   208    0.17639E+05    0.67872E+00    0.12266E-01   -0.32599E+01
   209    0.17679E+05    0.68675E+00    0.12396E-01   -0.18721E+01
   210    0.17718E+05    0.69592E+00    0.12526E-01   -0.46763E+00
   211    0.17758E+05    0.70626E+00    0.12657E-01    0.95357E+00
   212    0.17798E+05    0.71779E+00    0.12789E-01    0.23906E+01
   213    0.17838E+05    0.73056E+00    0.12921E-01    0.38434E+01
   214    0.17878E+05    0.74457E+00    0.13054E-01    0.53108E+01
   215    0.17918E+05    0.76000E+00    0.13187E-01    0.67921E+01
   216    0.17957E+05    0.77666E+00    0.13320E-01    0.82879E+01
   217    0.17997E+05    0.79472E+00    0.13454E-01    0.97960E+01
   218    0.18036E+05    0.81416E+00    0.13589E-01    0.11317E+02
   219    0.18075E+05    0.83500E+00    0.13724E-01    0.12851E+02
   220    0.18113E+05    0.85737E+00    0.13859E-01    0.14395E+02
   221    0.18151E+05    0.88120E+00    0.13995E-01    0.15950E+02
   222    0.18189E+05    0.90664E+00    0.14131E-01    0.17515E+02
   223    0.18226E+05    0.93361E+00    0.14268E-01    0.19091E+02
   224    0.18262E+05    0.96212E+00    0.14405E-01    0.20674E+02
   225    0.18298E+05    0.99230E+00    0.14542E-01    0.22267E+02
   226    0.18333E+05    0.10242E+01    0.14680E-01    0.23866E+02
   227    0.18367E+05    0.10577E+01    0.14818E-01    0.25473E+02
   228    0.18400E+05    0.10929E+01    0.14956E-01    0.27086E+02
   229    0.18433E+05    0.11299E+01    0.15095E-01    0.28704E+02
   230    0.18464E+05    0.11686E+01    0.15234E-01    0.30327E+02
   231    0.18494E+05    0.12091E+01    0.15373E-01    0.31956E+02
   232    0.18522E+05    0.12514E+01    0.15513E-01    0.33588E+02
   233    0.18550E+05    0.12956E+01    0.15652E-01    0.35221E+02
   234    0.18576E+05    0.13416E+01    0.15792E-01    0.36858E+02
   235    0.18600E+05    0.13896E+01    0.15932E-01    0.38496E+02
   236    0.18623E+05    0.14394E+01    0.16072E-01    0.40134E+02
   237    0.18644E+05    0.14912E+01    0.16213E-01    0.41773E+02
   238    0.18663E+05    0.15450E+01    0.16353E-01    0.43411E+02
   239    0.18681E+05    0.16007E+01    0.16494E-01    0.45049E+02
   240    0.18696E+05    0.16584E+01    0.16635E-01    0.46683E+02
   241    0.18709E+05    0.17181E+01    0.16776E-01    0.48315E+02
   242    0.18720E+05    0.17798E+01    0.16917E-01    0.49943E+02
   243    0.18729E+05    0.18437E+01    0.17057E-01    0.51567E+02
   244    0.18735E+05    0.19095E+01    0.17198E-01    0.53187E+02
   245    0.18739E+05    0.19774E+01    0.17339E-01    0.54800E+02
   246    0.18740E+05    0.20475E+01    0.17480E-01    0.56408E+02
   247    0.18739E+05    0.21195E+01    0.17621E-01    0.58008E+02
   248    0.18734E+05    0.21940E+01    0.17762E-01    0.59601E+02
   249    0.18727E+05    0.22703E+01    0.17903E-01    0.61185E+02
   250    0.18716E+05    0.23489E+01    0.18043E-01    0.62760E+02
   251    0.18703E+05    0.24295E+01    0.18184E-01    0.64326E+02
   252    0.18686E+05    0.25124E+01    0.18324E-01    0.65881E+02
   253    0.18666E+05    0.25973E+01    0.18464E-01    0.67424E+02
   254    0.18644E+05    0.26845E+01    0.18604E-01    0.68955E+02
   255    0.18618E+05    0.27737E+01    0.18744E-01    0.70475E+02
   256    0.18590E+05    0.28654E+01    0.18884E-01    0.71983E+02
   257    0.18559E+05    0.29589E+01    0.19023E-01    0.73470E+02
   258    0.18526E+05    0.30548E+01    0.19162E-01    0.74950E+02
   259    0.18490E+05    0.31528E+01    0.19301E-01    0.76408E+02
   260    0.18452E+05    0.32530E+01    0.19440E-01    0.77859E+02
   261    0.18411E+05    0.33553E+01    0.19578E-01    0.79280E+02
   262    0.18368E+05    0.34599E+01    0.19716E-01    0.80693E+02
   263    0.18323E+05    0.35666E+01    0.19853E-01    0.82092E+02
   264    0.18276E+05    0.36754E+01    0.19991E-01    0.83469E+02
   265    0.18227E+05    0.37864E+01    0.20128E-01    0.84816E+02
   266    0.18176E+05    0.38996E+01    0.20264E-01    0.86156E+02
   267    0.18124E+05    0.40148E+01    0.20400E-01    0.87466E+02
   268    0.18070E+05    0.41324E+01    0.20536E-01    0.88762E+02
   269    0.18014E+05    0.42519E+01    0.20672E-01    0.90036E+02
   270    0.17957E+05    0.43735E+01    0.20807E-01    0.91288E+02
   271    0.17899E+05    0.44972E+01    0.20941E-01    0.92517E+02
   272    0.17840E+05    0.46231E+01    0.21075E-01    0.93718E+02
   273    0.17779E+05    0.47508E+01    0.21209E-01    0.94903E+02
   274    0.17718E+05    0.48808E+01    0.21342E-01    0.96052E+02
   275    0.17656E+05    0.50126E+01    0.21475E-01    0.97186E+02
   276    0.17594E+05    0.51465E+01    0.21608E-01    0.98284E+02
   277    0.17531E+05    0.52823E+01    0.21739E-01    0.99367E+02
   278    0.17468E+05    0.54201E+01    0.21871E-01    0.10041E+03
   279    0.17405E+05    0.55597E+01    0.22002E-01    0.10143E+03
   280    0.17341E+05    0.57013E+01    0.22132E-01    0.10243E+03
   281    0.17278E+05    0.58447E+01    0.22262E-01    0.10340E+03
   282    0.17215E+05    0.59899E+01    0.22391E-01    0.10434E+03
   283    0.17152E+05    0.61369E+01    0.22520E-01    0.10524E+03
   284    0.17090E+05    0.62856E+01    0.22649E-01    0.10612E+03
   285    0.17029E+05    0.64362E+01    0.22777E-01    0.10697E+03
   286    0.16968E+05    0.65885E+01    0.22904E-01    0.10778E+03
   287    0.16908E+05    0.67424E+01    0.23031E-01    0.10857E+03
   288    0.16848E+05    0.68979E+01    0.23157E-01    0.10933E+03
   289    0.16791E+05    0.70551E+01    0.23283E-01    0.11005E+03
   290    0.16734E+05    0.72136E+01    0.23408E-01    0.11075E+03
   291    0.16679E+05    0.73743E+01    0.23532E-01    0.11140E+03
   292    0.16624E+05    0.75361E+01    0.23656E-01    0.11203E+03
   293    0.16572E+05    0.76986E+01    0.23780E-01    0.11262E+03
   294    0.16522E+05    0.78633E+01    0.23903E-01    0.11319E+03
   295    0.16473E+05    0.80286E+01    0.24025E-01    0.11371E+03
   296    0.16426E+05    0.81961E+01    0.24147E-01    0.11420E+03
   297    0.16381E+05    0.83636E+01    0.24268E-01    0.11466E+03
   298    0.16338E+05    0.85332E+01    0.24389E-01    0.11508E+03
   299    0.16298E+05    0.87043E+01    0.24509E-01    0.11547E+03
   300    0.16260E+05    0.88753E+01    0.24628E-01    0.11581E+03
   301    0.16224E+05    0.90478E+01    0.24747E-01    0.11613E+03
   302    0.16190E+05    0.92209E+01    0.24865E-01    0.11642E+03
   303    0.16159E+05    0.93955E+01    0.24983E-01    0.11667E+03
   304    0.16130E+05    0.95716E+01    0.25100E-01    0.11687E+03
   305    0.16103E+05    0.97476E+01    0.25216E-01    0.11704E+03
   306    0.16077E+05    0.99243E+01    0.25332E-01    0.11718E+03
   307    0.16054E+05    0.10102E+02    0.25447E-01    0.11727E+03
   308    0.16032E+05    0.10281E+02    0.25561E-01    0.11735E+03
   309    0.16012E+05    0.10460E+02    0.25675E-01    0.11737E+03
   310    0.15994E+05    0.10639E+02    0.25789E-01    0.11736E+03
   311    0.15976E+05    0.10820E+02    0.25901E-01    0.11731E+03
   312    0.15961E+05    0.11000E+02    0.26013E-01    0.11723E+03
   313    0.15946E+05    0.11181E+02    0.26125E-01    0.11710E+03
   314    0.15932E+05    0.11362E+02    0.26235E-01    0.11695E+03
   315    0.15920E+05    0.11543E+02    0.26345E-01    0.11675E+03
   316    0.15908E+05    0.11725E+02    0.26455E-01    0.11652E+03
   317    0.15897E+05    0.11906E+02    0.26564E-01    0.11625E+03
   318    0.15887E+05    0.12088E+02    0.26672E-01    0.11594E+03
   319    0.15877E+05    0.12269E+02    0.26780E-01    0.11560E+03
   320    0.15867E+05    0.12451E+02    0.26887E-01    0.11523E+03
   321    0.15858E+05    0.12633E+02    0.26993E-01    0.11481E+03
   322    0.15850E+05    0.12814E+02    0.27099E-01    0.11436E+03
   323    0.15841E+05    0.12995E+02    0.27204E-01    0.11387E+03
   324    0.15832E+05    0.13176E+02    0.27309E-01    0.11334E+03
   325    0.15824E+05    0.13355E+02    0.27413E-01    0.11279E+03
   326    0.15815E+05    0.13535E+02    0.27516E-01    0.11218E+03
   327    0.15806E+05    0.13714E+02    0.27619E-01    0.11155E+03
   328    0.15796E+05    0.13891E+02    0.27721E-01    0.11089E+03
   329    0.15786E+05    0.14069E+02    0.27823E-01    0.11018E+03
   330    0.15776E+05    0.14245E+02    0.27924E-01    0.10944E+03
   331    0.15765E+05    0.14421E+02    0.28025E-01    0.10867E+03
   332    0.15754E+05    0.14596E+02    0.28125E-01    0.10787E+03
   333    0.15742E+05    0.14770E+02    0.28224E-01    0.10703E+03
